slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
brunsja01,Jalen Brunson,Team.NEW_YORK_KNICKS,Location.HOME,Team.BOSTON_CELTICS,Outcome.LOSS,2254,12,25,4,9,6,6,1,2,9,1,0,4,0,-12.0,25.9,2024-02-24
townska01,Karl-Anthony Towns,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.BROOKLYN_NETS,Outcome.WIN,2179,8,17,4,8,8,8,0,9,4,1,2,2,3,20.0,24.0,2024-02-24
brownja02,Jaylen Brown,Team.BOSTON_CELTICS,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.WIN,2097,13,24,3,9,1,3,0,8,3,1,0,0,2,15.0,22.3,2024-02-24
edwaran01,Anthony Edwards,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.BROOKLYN_NETS,Outcome.WIN,2270,11,23,1,3,6,9,0,8,3,2,1,1,0,16.0,22.3,2024-02-24
porzikr01,Kristaps Porziņģis,Team.BOSTON_CELTICS,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.WIN,1892,7,11,3,4,5,5,2,2,4,0,1,1,3,12.0,20.4,2024-02-24
durenja01,Jalen Duren,Team.DETROIT_PISTONS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.LOSS,1970,6,7,0,0,4,6,2,9,3,1,4,1,5,-4.0,19.7,2024-02-24
cunnica01,Cade Cunningham,Team.DETROIT_PISTONS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.LOSS,1875,11,20,4,7,0,0,1,6,4,1,0,3,4,-1.0,18.1,2024-02-24
whitede01,Derrick White,Team.BOSTON_CELTICS,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.WIN,1940,5,8,3,5,0,0,1,2,6,2,0,0,1,7.0,16.5,2024-02-24
wagnemo01,Moritz Wagner,Team.ORLANDO_MAGIC,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,1043,6,9,0,0,2,2,6,1,1,1,0,0,0,7.0,16.3,2024-02-24
fontesi01,Simone Fontecchio,Team.DETROIT_PISTONS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.LOSS,1873,7,13,3,5,0,0,1,2,5,1,0,0,2,1.0,15.7,2024-02-24
suggsja01,Jalen Suggs,Team.ORLANDO_MAGIC,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,1565,6,7,2,3,0,0,1,1,5,2,2,3,2,-3.0,15.6,2024-02-24
hartjo01,Josh Hart,Team.NEW_YORK_KNICKS,Location.HOME,Team.BOSTON_CELTICS,Outcome.LOSS,2502,6,10,2,5,2,3,2,6,6,0,0,3,1,-8.0,15.0,2024-02-24
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.WIN,2602,7,15,2,8,3,4,1,5,6,2,1,4,3,15.0,14.8,2024-02-24
isaacjo01,Jonathan Isaac,Team.ORLANDO_MAGIC,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,1200,5,7,2,2,0,0,1,5,0,2,1,0,0,-3.0,14.0,2024-02-24
anthoco01,Cole Anthony,Team.ORLANDO_MAGIC,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,1258,5,11,1,2,2,2,0,3,7,1,0,0,2,7.0,13.3,2024-02-24
