slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
sabondo01,Domantas Sabonis,Team.SACRAMENTO_KINGS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,2057,11,15,1,1,9,9,6,14,3,2,0,1,3,6.0,36.2,2024-12-12
mccolcj01,CJ McCollum,Team.NEW_ORLEANS_PELICANS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.LOSS,2218,14,24,6,11,2,2,0,3,3,0,0,2,2,-4.0,25.0,2024-12-12
pritcpa01,Payton Pritchard,Team.BOSTON_CELTICS,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,1860,10,20,7,15,0,0,0,4,10,0,0,1,0,22.0,24.2,2024-12-12
derozde01,DeMar DeRozan,Team.SACRAMENTO_KINGS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,2057,8,18,3,3,10,11,0,3,2,4,0,1,3,6.0,23.3,2024-12-12
whitede01,Derrick White,Team.BOSTON_CELTICS,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,1835,7,13,7,12,2,2,1,1,4,2,1,2,0,14.0,21.2,2024-12-12
hollaro01,Ron Holland,Team.DETROIT_PISTONS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.LOSS,1258,11,14,2,5,2,2,1,2,0,0,0,1,2,-4.0,20.1,2024-12-12
adebaba01,Bam Adebayo,Team.MIAMI_HEAT,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2071,8,17,1,3,4,6,3,13,5,0,1,1,2,7.0,19.9,2024-12-12
herroty01,Tyler Herro,Team.MIAMI_HEAT,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,1939,9,13,4,7,1,1,0,4,4,0,0,2,1,30.0,19.1,2024-12-12
porzikr01,Kristaps Porziņģis,Team.BOSTON_CELTICS,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,1808,8,18,2,7,1,2,0,8,2,1,2,1,0,23.0,14.4,2024-12-12
jovicni01,Nikola Jović,Team.MIAMI_HEAT,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,1444,4,5,2,2,4,7,0,4,1,1,1,0,1,25.0,14.1,2024-12-12
