slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
risacza01,Zaccharie Risacher,Team.ATLANTA_HAWKS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,2220,11,18,6,10,5,9,1,6,3,3,2,0,1,14.0,31.8,2024-11-06
sabondo01,Domantas Sabonis,Team.SACRAMENTO_KINGS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2014,6,6,0,0,5,5,4,7,13,1,0,0,0,16.0,30.2,2024-11-06
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,2369,9,20,1,3,4,6,7,13,16,2,2,5,2,8.0,29.4,2024-11-06
jamesle01,LeBron James,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,2125,15,24,6,11,3,4,0,7,6,1,0,5,2,-21.0,29.3,2024-11-06
townska01,Karl-Anthony Towns,Team.NEW_YORK_KNICKS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,2281,11,23,5,9,7,7,5,11,1,1,3,3,2,-12.0,29.1,2024-11-06
willija06,Jalen Williams,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.DENVER_NUGGETS,Outcome.LOSS,2163,11,20,4,8,3,5,2,8,9,3,0,1,4,3.0,29.1,2024-11-06
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,2063,8,17,4,9,7,7,0,7,9,4,1,3,2,7.0,27.6,2024-11-06
alvarjo01,Jose Alvarado,Team.NEW_ORLEANS_PELICANS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,2119,10,14,7,7,0,0,0,2,5,3,0,1,4,1.0,25.7,2024-11-06
doncilu01,Luka Dončić,Team.DALLAS_MAVERICKS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,1939,8,19,3,8,8,9,0,7,13,4,0,5,3,35.0,25.5,2024-11-06
vanvlfr01,Fred VanVleet,Team.HOUSTON_ROCKETS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,1524,10,11,1,2,0,0,0,7,10,2,0,3,2,20.0,24.6,2024-11-06
johnsja05,Jalen Johnson,Team.ATLANTA_HAWKS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,2355,10,18,3,6,0,0,4,11,7,0,1,2,1,26.0,23.7,2024-11-06
bridgmi02,Miles Bridges,Team.CHARLOTTE_HORNETS,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,2100,8,14,2,3,9,9,1,6,2,0,0,0,3,6.0,23.1,2024-11-06
powelno01,Norman Powell,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,2083,8,10,6,8,4,4,0,1,6,1,0,3,4,6.0,23.1,2024-11-06
westbru01,Russell Westbrook,Team.DENVER_NUGGETS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,1930,10,15,3,4,6,9,1,5,6,1,0,4,4,-14.0,23.1,2024-11-06
nurkiju01,Jusuf Nurkić,Team.PHOENIX_SUNS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,1993,6,8,3,3,5,6,4,14,1,1,2,2,4,5.0,22.9,2024-11-06
herroty01,Tyler Herro,Team.MIAMI_HEAT,Location.AWAY,Team.PHOENIX_SUNS,Outcome.LOSS,2101,9,15,5,9,5,5,0,3,6,0,0,3,3,5.0,22.0,2024-11-06
willizi01,Zion Williamson,Team.NEW_ORLEANS_PELICANS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,1752,9,18,0,0,11,13,2,6,4,1,1,4,3,-3.0,21.7,2024-11-06
mitchdo01,Donovan Mitchell,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,2023,10,20,3,9,6,6,0,4,3,1,1,2,1,4.0,21.6,2024-11-06
murrake02,Keegan Murray,Team.SACRAMENTO_KINGS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2100,9,17,3,8,1,2,7,5,3,0,1,1,2,6.0,20.7,2024-11-06
duranke01,Kevin Durant,Team.PHOENIX_SUNS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,2233,13,23,4,11,2,3,0,8,3,1,1,6,1,-1.0,20.5,2024-11-06
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2205,10,20,5,10,7,9,0,4,2,1,1,4,3,-5.0,20.3,2024-11-06
mitchda01,Davion Mitchell,Team.TORONTO_RAPTORS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.LOSS,1942,8,11,2,3,2,2,1,2,6,1,0,1,2,-14.0,20.2,2024-11-06
ballla01,LaMelo Ball,Team.CHARLOTTE_HORNETS,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,1919,10,23,5,12,0,0,2,4,8,2,0,2,3,-2.0,19.9,2024-11-06
highsha01,Haywood Highsmith,Team.MIAMI_HEAT,Location.AWAY,Team.PHOENIX_SUNS,Outcome.LOSS,1836,7,8,2,3,3,3,2,5,0,2,0,0,3,3.0,19.9,2024-11-06
braunch01,Christian Braun,Team.DENVER_NUGGETS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,2192,7,14,4,8,6,6,1,7,0,2,1,2,2,6.0,19.7,2024-11-06
walkeja02,Jarace Walker,Team.INDIANA_PACERS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,1394,7,7,3,3,0,0,1,5,0,2,1,0,1,8.0,19.4,2024-11-06
whitede01,Derrick White,Team.BOSTON_CELTICS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2178,8,19,7,16,3,3,1,5,3,2,0,1,5,-11.0,19.2,2024-11-06
youngtr01,Trae Young,Team.ATLANTA_HAWKS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,2115,7,21,3,9,6,8,2,4,10,2,0,2,2,6.0,19.1,2024-11-06
portemi01,Michael Porter Jr.,Team.DENVER_NUGGETS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,2482,7,16,6,10,4,4,1,6,3,1,0,1,3,4.0,19.0,2024-11-06
allenja01,Jarrett Allen,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,2088,7,10,0,0,2,2,2,12,2,1,2,0,5,24.0,18.6,2024-11-06
gaffoda01,Daniel Gafford,Team.DALLAS_MAVERICKS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,1412,7,9,0,0,3,4,2,5,1,0,3,0,1,19.0,18.4,2024-11-06
bookede01,Devin Booker,Team.PHOENIX_SUNS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,2333,9,17,2,7,2,3,1,3,9,0,0,3,1,8.0,17.8,2024-11-06
mathube01,Bennedict Mathurin,Team.INDIANA_PACERS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,2035,3,7,1,3,13,14,1,10,1,1,0,2,4,1.0,17.7,2024-11-06
capelca01,Clint Capela,Team.ATLANTA_HAWKS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,1672,8,8,0,0,2,2,4,2,1,0,0,1,3,0.0,17.5,2024-11-06
wagnefr01,Franz Wagner,Team.ORLANDO_MAGIC,Location.AWAY,Team.INDIANA_PACERS,Outcome.LOSS,2362,10,23,2,7,6,8,1,7,6,0,0,3,4,-1.0,17.5,2024-11-06
georgpa01,Paul George,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,1416,7,9,2,3,2,2,3,4,2,3,1,4,4,-11.0,17.3,2024-11-06
irvinky01,Kyrie Irving,Team.DALLAS_MAVERICKS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,1662,7,11,1,3,2,2,0,6,2,3,0,1,0,9.0,17.3,2024-11-06
jacksja02,Jaren Jackson Jr.,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1926,8,13,1,4,3,3,1,5,1,0,3,1,2,22.0,17.3,2024-11-06
derozde01,DeMar DeRozan,Team.SACRAMENTO_KINGS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2116,11,21,2,4,3,3,0,2,3,1,0,3,1,15.0,17.0,2024-11-06
wellsja01,Jaylen Wells,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1682,7,10,5,7,1,2,0,3,1,1,0,1,0,8.0,17.0,2024-11-06
zubaciv01,Ivica Zubac,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,1997,7,9,0,0,1,1,2,7,3,1,0,1,1,13.0,16.7,2024-11-06
leverca01,Caris LeVert,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1667,7,13,2,4,0,0,2,4,6,1,0,1,0,6.0,16.5,2024-11-06
reddica01,Cam Reddish,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,1556,5,7,2,2,3,4,2,4,2,2,0,0,3,0.0,16.5,2024-11-06
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.DENVER_NUGGETS,Outcome.LOSS,2329,10,19,0,3,8,10,0,2,6,1,1,8,1,3.0,16.0,2024-11-06
reaveau01,Austin Reaves,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,2096,7,17,2,9,3,4,0,3,5,3,0,1,1,-9.0,15.5,2024-11-06
iveyja01,Jaden Ivey,Team.DETROIT_PISTONS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.LOSS,2013,8,16,3,5,2,2,2,2,5,0,1,3,2,-14.0,15.4,2024-11-06
greenja05,Jalen Green,Team.HOUSTON_ROCKETS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,1860,6,14,4,9,5,6,0,5,4,0,1,3,1,14.0,14.8,2024-11-06
hartjo01,Josh Hart,Team.NEW_YORK_KNICKS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,2284,6,9,2,4,0,0,1,7,8,1,1,3,6,-14.0,14.8,2024-11-06
laravja01,Jake LaRavia,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1729,6,11,1,3,0,1,2,3,8,1,0,1,2,2.0,14.4,2024-11-06
mcbrimi01,Miles McBride,Team.NEW_YORK_KNICKS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,1706,5,9,4,6,2,2,0,4,7,0,1,3,3,13.0,14.3,2024-11-06
vucevni01,Nikola Vučević,Team.CHICAGO_BULLS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.LOSS,1491,7,10,0,2,0,0,3,7,3,1,0,2,2,-21.0,14.3,2024-11-06
barrerj01,RJ Barrett,Team.TORONTO_RAPTORS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.LOSS,1953,9,19,1,5,4,5,0,3,3,2,0,3,2,-9.0,14.1,2024-11-06
jonesde02,Derrick Jones Jr.,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,1431,5,6,1,2,3,3,1,3,2,0,0,0,2,9.0,14.0,2024-11-06
buzelma01,Matas Buzelis,Team.CHICAGO_BULLS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.LOSS,1371,4,9,3,4,2,2,3,6,0,2,1,1,0,-2.0,13.9,2024-11-06
cunnica01,Cade Cunningham,Team.DETROIT_PISTONS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.LOSS,2262,9,23,0,4,2,2,1,9,10,0,0,2,5,-1.0,13.9,2024-11-06
adebaba01,Bam Adebayo,Team.MIAMI_HEAT,Location.AWAY,Team.PHOENIX_SUNS,Outcome.LOSS,2065,5,21,0,1,2,2,7,5,6,5,1,1,2,0.0,13.8,2024-11-06
halibty01,Tyrese Haliburton,Team.INDIANA_PACERS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,2199,6,11,3,5,2,2,0,3,4,1,0,1,4,6.0,13.8,2024-11-06
dortlu01,Luguentz Dort,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.DENVER_NUGGETS,Outcome.LOSS,1540,3,6,3,5,2,2,0,6,3,3,2,1,4,5.0,13.7,2024-11-06
sengual01,Alperen Şengün,Team.HOUSTON_ROCKETS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,1456,8,15,0,1,0,1,0,5,4,1,2,1,1,13.0,13.6,2024-11-06
garlada01,Darius Garland,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1798,5,10,4,6,0,0,0,1,9,1,1,3,2,14.0,13.5,2024-11-06
ingrabr01,Brandon Ingram,Team.NEW_ORLEANS_PELICANS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,2321,9,20,2,8,0,0,0,5,5,1,1,2,2,-17.0,13.5,2024-11-06
bouchch01,Chris Boucher,Team.TORONTO_RAPTORS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.LOSS,1472,7,11,3,6,0,0,1,3,0,0,0,0,1,-1.0,13.3,2024-11-06
aldamsa01,Santi Aldama,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1880,4,10,1,5,2,2,3,9,3,1,0,0,1,11.0,13.1,2024-11-06
bostobr01,Brandon Boston Jr.,Team.NEW_ORLEANS_PELICANS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,2303,4,11,2,5,4,4,2,0,5,0,1,0,1,-3.0,13.1,2024-11-06
easonta01,Tari Eason,Team.HOUSTON_ROCKETS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,1309,5,7,1,2,1,2,3,1,1,1,1,0,1,23.0,13.1,2024-11-06
hieldbu01,Buddy Hield,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,1712,6,11,4,7,0,0,1,5,1,0,1,0,3,20.0,13.1,2024-11-06
anunoog01,OG Anunoby,Team.NEW_YORK_KNICKS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,2482,5,13,3,8,2,2,1,5,3,1,0,0,1,-1.0,12.8,2024-11-06
siakapa01,Pascal Siakam,Team.INDIANA_PACERS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,2009,6,13,0,3,5,5,1,3,3,0,0,0,3,6.0,12.8,2024-11-06
jeromty01,Ty Jerome,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,948,4,7,2,2,1,2,1,2,5,2,0,1,1,1.0,12.7,2024-11-06
mccontj01,T.J. McConnell,Team.INDIANA_PACERS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,999,7,7,1,1,0,0,0,0,5,1,0,4,2,2.0,12.6,2024-11-06
