slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
mamuksa01,Sandro Mamukelashvili,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,1167,13,14,7,7,1,1,5,4,3,1,0,0,1,22.0,36.8,2025-03-19
bookede01,Devin Booker,Team.PHOENIX_SUNS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,2171,14,26,6,12,7,7,1,3,7,0,0,4,0,10.0,30.9,2025-03-19
avdijde01,Deni Avdija,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2325,9,18,5,8,8,9,3,13,8,0,2,4,3,27.0,29.4,2025-03-19
mobleev01,Evan Mobley,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.LOSS,1894,13,18,4,5,1,1,3,7,2,1,0,2,2,3.0,27.4,2025-03-19
willija07,Jaylin Williams,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,2266,7,11,3,5,2,2,4,13,11,2,0,3,3,33.0,26.3,2025-03-19
willizi01,Zion Williamson,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,1816,12,16,0,0,5,9,0,5,8,3,0,3,5,9.0,26.1,2025-03-19
adebaba01,Bam Adebayo,Team.MIAMI_HEAT,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,2221,12,24,2,5,4,4,3,6,8,1,1,2,3,-2.0,26.0,2025-03-19
giddejo01,Josh Giddey,Team.CHICAGO_BULLS,Location.AWAY,Team.PHOENIX_SUNS,Outcome.LOSS,1839,10,15,2,4,0,0,1,6,7,2,1,1,0,2.0,24.6,2025-03-19
townska01,Karl-Anthony Towns,Team.NEW_YORK_KNICKS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,2111,11,21,2,5,8,9,4,5,2,1,0,3,1,-13.0,24.6,2025-03-19
jonesco02,Colby Jones,Team.WASHINGTON_WIZARDS,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,1578,9,11,4,4,2,3,1,3,3,3,0,1,2,-14.0,24.4,2025-03-19
banchpa01,Paolo Banchero,Team.ORLANDO_MAGIC,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.LOSS,2363,10,21,3,8,8,8,2,4,5,1,0,2,3,-7.0,24.2,2025-03-19
duranke01,Kevin Durant,Team.PHOENIX_SUNS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,2168,8,15,3,7,7,8,0,4,8,0,0,1,1,12.0,23.7,2025-03-19
easonta01,Tari Eason,Team.HOUSTON_ROCKETS,Location.AWAY,Team.ORLANDO_MAGIC,Outcome.WIN,1928,7,10,0,2,2,2,3,6,4,5,1,0,2,8.0,23.4,2025-03-19
siakapa01,Pascal Siakam,Team.INDIANA_PACERS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,2016,11,16,3,4,4,5,0,1,5,1,1,3,4,4.0,22.7,2025-03-19
edwaran01,Anthony Edwards,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,2263,5,19,4,10,15,17,2,4,4,1,1,2,0,-6.0,22.0,2025-03-19
reaveau01,Austin Reaves,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.DENVER_NUGGETS,Outcome.WIN,2167,8,16,2,7,4,4,0,5,8,2,1,1,2,13.0,22.0,2025-03-19
doncilu01,Luka Dončić,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.DENVER_NUGGETS,Outcome.WIN,1936,10,21,4,9,7,10,0,8,7,2,1,6,3,20.0,21.9,2025-03-19
okekech01,Chuma Okeke,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2222,5,6,4,5,0,0,7,8,2,0,1,0,0,-14.0,21.2,2025-03-19
sarral01,Alex Sarr,Team.WASHINGTON_WIZARDS,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,1392,7,14,4,8,4,4,5,4,2,2,0,2,0,-7.0,21.1,2025-03-19
cunnica01,Cade Cunningham,Team.DETROIT_PISTONS,Location.AWAY,Team.MIAMI_HEAT,Outcome.WIN,2139,11,25,3,4,0,0,4,8,11,1,2,5,3,-3.0,21.0,2025-03-19
wiggiaa01,Aaron Wiggins,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,1729,10,18,4,10,2,3,0,4,6,0,0,1,2,32.0,20.6,2025-03-19
monkma01,Malik Monk,Team.SACRAMENTO_KINGS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.WIN,2367,8,18,4,7,2,2,3,3,8,2,1,3,1,-6.0,20.5,2025-03-19
colliis01,Isaiah Collier,Team.UTAH_JAZZ,Location.HOME,Team.WASHINGTON_WIZARDS,Outcome.WIN,1664,7,10,2,3,0,0,1,2,6,4,0,1,1,6.0,19.9,2025-03-19
herroty01,Tyler Herro,Team.MIAMI_HEAT,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,2201,10,20,3,9,6,6,0,4,3,0,0,2,1,8.0,19.9,2025-03-19
