slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
cunnica01,Cade Cunningham,Team.DETROIT_PISTONS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.WIN,2277,14,24,7,10,3,3,0,7,12,1,3,3,2,6.0,36.6,2025-02-23
halibty01,Tyrese Haliburton,Team.INDIANA_PACERS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,1817,9,14,4,8,7,7,0,1,12,3,0,1,0,15.0,33.5,2025-02-23
herroty01,Tyler Herro,Team.MIAMI_HEAT,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.LOSS,2398,12,27,3,12,13,14,1,6,11,0,0,2,1,7.0,33.3,2025-02-23
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,2287,13,24,3,6,8,11,0,8,8,3,3,5,3,16.0,31.1,2025-02-23
hardeja01,James Harden,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.INDIANA_PACERS,Outcome.LOSS,2114,9,17,6,13,7,9,0,7,11,3,2,5,1,-17.0,30.7,2025-02-23
youngtr01,Trae Young,Team.ATLANTA_HAWKS,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,2286,10,24,6,15,12,15,0,2,13,1,0,7,5,2.0,25.7,2025-02-23
bookede01,Devin Booker,Team.PHOENIX_SUNS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.LOSS,2229,12,25,3,8,4,4,0,4,8,2,1,1,5,-11.0,24.8,2025-02-23
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,1714,12,20,3,8,3,3,0,4,7,1,0,2,3,14.0,24.7,2025-02-23
bealbr01,Bradley Beal,Team.PHOENIX_SUNS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.LOSS,2482,12,15,1,2,5,7,1,3,1,0,0,0,3,-18.0,24.6,2025-02-23
lillada01,Damian Lillard,Team.MILWAUKEE_BUCKS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,2267,9,17,5,12,5,6,1,2,8,0,0,1,2,-3.0,24.4,2025-02-23
daniedy01,Dyson Daniels,Team.ATLANTA_HAWKS,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,2296,10,14,3,3,1,2,0,5,6,4,1,3,3,-2.0,24.0,2025-02-23
mobleev01,Evan Mobley,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2161,10,20,1,8,4,6,4,9,8,0,3,3,1,9.0,24.0,2025-02-23
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,1915,11,18,1,2,0,0,3,13,7,1,1,3,2,16.0,23.6,2025-02-23
quickim01,Immanuel Quickley,Team.TORONTO_RAPTORS,Location.HOME,Team.PHOENIX_SUNS,Outcome.WIN,1798,7,15,5,7,4,5,0,6,8,2,1,1,3,29.0,22.8,2025-02-23
mitchdo01,Donovan Mitchell,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2109,11,23,4,8,7,11,2,0,6,0,0,1,4,1.0,22.7,2025-02-23
bouchch01,Chris Boucher,Team.TORONTO_RAPTORS,Location.HOME,Team.PHOENIX_SUNS,Outcome.WIN,1171,9,12,4,5,1,3,3,7,2,0,0,0,1,17.0,22.6,2025-02-23
jeromty01,Ty Jerome,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,1358,9,16,3,7,5,6,2,3,4,2,0,1,4,4.0,22.5,2025-02-23
whitede01,Derrick White,Team.BOSTON_CELTICS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,2208,7,10,5,6,0,0,2,7,7,1,0,2,1,19.0,21.8,2025-02-23
edwaran01,Anthony Edwards,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2318,8,21,4,13,9,10,2,8,7,2,0,5,3,-11.0,21.6,2025-02-23
risacza01,Zaccharie Risacher,Team.ATLANTA_HAWKS,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,1876,5,10,4,6,5,5,0,6,3,2,2,0,0,10.0,21.3,2025-02-23
beaslma01,Malik Beasley,Team.DETROIT_PISTONS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.WIN,2019,7,12,6,10,4,8,1,6,3,1,0,1,1,15.0,21.0,2025-02-23
hartjo01,Josh Hart,Team.NEW_YORK_KNICKS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.LOSS,2409,8,14,0,0,4,4,2,9,9,0,0,2,2,-12.0,21.0,2025-02-23
zubaciv01,Ivica Zubac,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.INDIANA_PACERS,Outcome.LOSS,1795,8,11,0,0,6,6,1,5,2,0,0,0,1,-9.0,20.7,2025-02-23
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,2201,8,20,3,10,6,6,0,10,9,1,0,3,3,12.0,20.3,2025-02-23
blackan01,Anthony Black,Team.ORLANDO_MAGIC,Location.HOME,Team.WASHINGTON_WIZARDS,Outcome.WIN,1630,7,12,4,5,5,5,0,7,3,1,1,2,4,12.0,19.7,2025-02-23
adebaba01,Bam Adebayo,Team.MIAMI_HEAT,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.LOSS,2115,10,16,2,2,2,3,2,5,1,1,0,0,4,-16.0,19.4,2025-02-23
willizi01,Zion Williamson,Team.NEW_ORLEANS_PELICANS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,1672,8,17,0,0,6,10,2,7,3,2,2,1,1,23.0,19.3,2025-02-23
moranja01,Ja Morant,Team.MEMPHIS_GRIZZLIES,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,2057,6,13,2,4,7,7,0,2,10,0,0,1,5,-5.0,18.9,2025-02-23
townska01,Karl-Anthony Towns,Team.NEW_YORK_KNICKS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.LOSS,2479,9,20,3,4,3,3,5,13,0,0,0,1,4,-1.0,18.4,2025-02-23
butleji01,Jimmy Butler,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,1698,5,9,0,2,8,8,1,2,5,1,0,1,1,28.0,18.1,2025-02-23
