slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
greenja05,Jalen Green,Team.HOUSTON_ROCKETS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,2782,14,24,7,11,2,2,2,8,7,2,1,5,3,12.0,31.0,2024-03-27
hachiru01,Rui Hachimura,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2137,11,14,7,8,3,4,0,10,1,0,2,0,1,35.0,30.9,2024-03-27
murrade01,Dejounte Murray,Team.ATLANTA_HAWKS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,2130,13,20,4,8,0,0,0,3,7,2,2,1,0,13.0,29.4,2024-03-27
poolejo01,Jordan Poole,Team.WASHINGTON_WIZARDS,Location.HOME,Team.BROOKLYN_NETS,Outcome.LOSS,2670,15,24,5,12,3,3,0,7,8,0,0,4,4,2.0,29.3,2024-03-27
thomaca02,Cam Thomas,Team.BROOKLYN_NETS,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.WIN,2708,14,27,2,6,8,8,0,2,7,1,1,2,3,5.0,28.7,2024-03-27
giddejo01,Josh Giddey,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.LOSS,1913,12,20,0,3,7,11,5,2,4,1,1,1,2,-7.0,27.0,2024-03-27
bantoda01,Dalano Banton,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,2206,13,23,5,11,0,0,1,4,9,2,0,4,0,-15.0,26.3,2024-03-27
mcbrimi01,Miles McBride,Team.NEW_YORK_KNICKS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.WIN,2375,10,17,9,14,0,0,1,2,7,1,0,1,4,40.0,25.7,2024-03-27
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.HOME,Team.PHOENIX_SUNS,Outcome.LOSS,2492,9,16,1,5,3,3,0,9,10,2,1,1,2,2.0,25.0,2024-03-27
banede01,Desmond Bane,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,2375,8,17,4,9,6,6,0,4,16,1,0,4,5,-7.0,24.7,2024-03-27
