slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
porzikr01,Kristaps Porziņģis,Team.BOSTON_CELTICS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2094,12,18,2,3,8,9,6,4,2,0,3,1,1,3.0,33.3,2024-01-02
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,2114,12,20,4,9,8,11,1,1,6,4,1,2,4,12.0,31.9,2024-01-02
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.BOSTON_CELTICS,Outcome.WIN,2198,14,22,3,5,5,8,0,6,7,1,0,0,5,3.0,30.7,2024-01-02
embiijo01,Joel Embiid,Team.PHILADELPHIA_76ERS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,1887,10,20,2,5,9,12,0,15,10,1,2,4,4,32.0,28.1,2024-01-02
roziete01,Terry Rozier,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,2178,13,24,3,11,5,6,0,3,6,1,2,2,3,-1.0,26.3,2024-01-02
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2256,10,21,2,5,8,10,5,8,8,1,0,4,3,0.0,25.8,2024-01-02
moranja01,Ja Morant,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,2119,7,15,3,9,9,12,0,5,10,1,0,4,3,-1.0,21.4,2024-01-02
bridgmi02,Miles Bridges,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,2407,9,18,3,6,6,6,0,5,3,1,2,3,0,9.0,21.0,2024-01-02
banchpa01,Paolo Banchero,Team.ORLANDO_MAGIC,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2063,8,20,3,8,8,11,4,8,6,2,1,5,4,-8.0,20.5,2024-01-02
giddejo01,Josh Giddey,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.BOSTON_CELTICS,Outcome.WIN,1613,8,14,4,7,3,3,1,7,6,0,0,3,0,10.0,20.4,2024-01-02
foxde01,De'Aaron Fox,Team.SACRAMENTO_KINGS,Location.HOME,Team.CHARLOTTE_HORNETS,Outcome.LOSS,2267,11,25,3,10,5,8,0,5,6,1,1,3,2,4.0,19.3,2024-01-02
harrito02,Tobias Harris,Team.PHILADELPHIA_76ERS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,1793,9,13,1,4,1,3,1,7,2,0,2,1,0,32.0,18.3,2024-01-02
whitede01,Derrick White,Team.BOSTON_CELTICS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,1710,7,12,5,9,0,0,0,5,6,1,1,2,4,5.0,17.2,2024-01-02
