slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
grimequ01,Quentin Grimes,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.HOUSTON_ROCKETS,Outcome.LOSS,2581,15,27,8,14,8,13,2,11,4,2,1,6,3,-6.0,34.1,2025-03-17
banede01,Desmond Bane,Team.MEMPHIS_GRIZZLIES,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.LOSS,2479,15,25,7,7,7,7,0,6,4,1,0,4,2,0.0,33.3,2025-03-17
toppiob01,Obi Toppin,Team.INDIANA_PACERS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,2696,12,19,7,10,3,4,2,8,2,1,1,2,0,7.0,30.0,2025-03-17
edwaran01,Anthony Edwards,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.INDIANA_PACERS,Outcome.LOSS,2467,9,24,1,11,19,20,0,3,5,2,2,3,3,-7.0,28.0,2025-03-17
reaveau01,Austin Reaves,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,2170,12,21,5,13,1,1,0,7,6,2,0,2,0,18.0,26.4,2025-03-17
jonestr01,Tre Jones,Team.CHICAGO_BULLS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,2012,8,10,1,2,1,1,1,3,12,3,0,1,1,6.0,25.8,2025-03-17
gordoaa01,Aaron Gordon,Team.DENVER_NUGGETS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,2224,14,23,4,6,6,6,5,1,3,0,0,7,2,13.0,25.6,2025-03-17
monkma01,Malik Monk,Team.SACRAMENTO_KINGS,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2141,10,17,4,8,4,4,0,3,7,1,3,3,1,8.0,25.6,2025-03-17
greenja05,Jalen Green,Team.HOUSTON_ROCKETS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,2717,10,26,5,17,5,5,0,7,13,2,1,4,1,15.0,25.3,2025-03-17
smithja05,Jabari Smith Jr.,Team.HOUSTON_ROCKETS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,2316,11,17,5,7,3,4,1,7,3,2,0,4,2,6.0,24.2,2025-03-17
bookede01,Devin Booker,Team.PHOENIX_SUNS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,1925,8,15,3,6,8,8,0,4,6,0,0,1,3,23.0,22.9,2025-03-17
hartjo01,Josh Hart,Team.NEW_YORK_KNICKS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,1757,5,9,2,5,0,0,2,11,11,4,1,2,0,31.0,22.8,2025-03-17
simonan01,Anfernee Simons,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.WASHINGTON_WIZARDS,Outcome.WIN,1384,10,17,5,11,5,5,0,1,2,0,0,1,0,21.0,22.8,2025-03-17
bridgmi01,Mikal Bridges,Team.NEW_YORK_KNICKS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,1940,10,14,4,6,4,4,0,1,3,1,0,3,1,12.0,22.2,2025-03-17
willizi01,Zion Williamson,Team.NEW_ORLEANS_PELICANS,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,1678,9,18,0,0,12,15,2,4,3,0,2,3,3,-18.0,21.7,2025-03-17
doncilu01,Luka Dončić,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,2036,5,20,1,7,10,13,2,7,14,3,1,3,1,19.0,21.4,2025-03-17
