slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
brownja02,Jaylen Brown,Team.BOSTON_CELTICS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,2589,9,16,4,7,13,13,1,10,3,2,1,2,1,10.0,33.5,2024-01-10
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,2535,13,26,6,11,13,14,0,4,2,1,0,1,3,3.0,33.0,2024-01-10
johnsja05,Jalen Johnson,Team.ATLANTA_HAWKS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,2456,8,13,3,4,6,6,2,14,7,1,2,1,3,6.0,29.8,2024-01-10
leonaka01,Kawhi Leonard,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2265,10,18,2,4,7,7,2,1,7,1,2,0,3,-5.0,28.2,2024-01-10
adebaba01,Bam Adebayo,Team.MIAMI_HEAT,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2204,9,16,0,0,7,7,5,6,6,0,2,1,1,-6.0,26.9,2024-01-10
maxeyty01,Tyrese Maxey,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,2575,12,29,4,11,7,9,1,7,9,4,0,3,6,2.0,26.4,2024-01-10
georgpa01,Paul George,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2296,12,22,5,9,0,0,0,7,6,2,1,0,4,15.0,25.8,2024-01-10
harrito02,Tobias Harris,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,2475,12,24,1,2,7,7,2,8,4,0,1,1,2,1.0,25.5,2024-01-10
markkla01,Lauri Markkanen,Team.UTAH_JAZZ,Location.HOME,Team.DENVER_NUGGETS,Outcome.WIN,1944,6,13,2,5,12,12,2,10,2,0,1,0,2,17.0,25.0,2024-01-10
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,1828,8,9,1,1,10,12,1,10,6,1,0,6,3,-21.0,24.8,2024-01-10
