slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
russeda01,D'Angelo Russell,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.ATLANTA_HAWKS,Outcome.WIN,1823,8,14,6,10,5,5,0,4,10,1,0,1,1,27.0,28.2,2024-03-18
edwaran01,Anthony Edwards,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,2271,13,23,2,8,4,4,1,6,8,1,2,3,2,-1.0,27.8,2024-03-18
jamesle01,LeBron James,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.ATLANTA_HAWKS,Outcome.WIN,1719,10,14,2,5,3,3,0,7,10,0,0,2,0,20.0,26.3,2024-03-18
derozde01,DeMar DeRozan,Team.CHICAGO_BULLS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,2405,10,17,1,2,7,7,2,3,6,0,1,2,0,12.0,25.3,2024-03-18
davisan02,Anthony Davis,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.ATLANTA_HAWKS,Outcome.WIN,1873,10,14,1,2,1,2,1,14,6,2,1,2,2,28.0,24.8,2024-03-18
brunsja01,Jalen Brunson,Team.NEW_YORK_KNICKS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,2114,12,25,3,9,7,8,0,5,7,1,0,3,2,13.0,24.5,2024-03-18
leverca01,Caris LeVert,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.INDIANA_PACERS,Outcome.WIN,2279,7,15,1,5,8,11,1,7,11,1,1,1,2,12.0,24.5,2024-03-18
maxeyty01,Tyrese Maxey,Team.PHILADELPHIA_76ERS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,2469,11,24,3,10,5,5,0,8,10,1,1,3,3,22.0,24.5,2024-03-18
sabondo01,Domantas Sabonis,Team.SACRAMENTO_KINGS,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2410,6,17,0,2,13,15,7,11,5,0,2,2,4,2.0,24.2,2024-03-18
mcbrimi01,Miles McBride,Team.NEW_YORK_KNICKS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,2791,9,13,6,9,5,6,1,0,2,1,0,1,4,3.0,23.6,2024-03-18
aytonde01,Deandre Ayton,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.CHICAGO_BULLS,Outcome.LOSS,2227,11,17,0,0,3,4,4,11,1,0,2,1,3,-8.0,23.1,2024-03-18
jackstr02,Trayce Jackson-Davis,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.LOSS,1543,9,9,0,0,1,2,3,6,2,0,3,0,2,6.0,22.5,2024-03-18
simonan01,Anfernee Simons,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.CHICAGO_BULLS,Outcome.LOSS,2328,10,24,4,14,6,7,0,3,9,0,0,1,2,3.0,22.2,2024-03-18
