slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
jamesle01,LeBron James,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,2282,14,25,6,9,8,10,1,16,8,1,1,3,1,7.0,38.7,2025-02-06
siakapa01,Pascal Siakam,Team.INDIANA_PACERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,2072,13,19,5,6,2,2,0,11,2,2,0,0,3,15.0,30.4,2025-02-06
edwaran01,Anthony Edwards,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,2307,11,25,5,12,14,15,2,5,6,0,1,4,3,9.0,30.1,2025-02-06
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,1867,11,16,2,4,4,6,0,10,12,2,0,3,2,22.0,30.0,2025-02-06
simonan01,Anfernee Simons,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,2067,9,16,8,12,4,4,0,2,6,1,0,2,1,4.0,25.8,2025-02-06
portemi01,Michael Porter Jr.,Team.DENVER_NUGGETS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,1816,11,16,5,8,3,5,2,5,1,0,1,3,1,19.0,23.3,2025-02-06
mathube01,Bennedict Mathurin,Team.INDIANA_PACERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,1688,8,13,1,5,8,12,3,3,4,0,0,0,2,13.0,22.5,2025-02-06
derozde01,DeMar DeRozan,Team.SACRAMENTO_KINGS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,2236,9,16,1,4,3,4,1,3,7,1,3,0,3,5.0,22.4,2025-02-06
thompkl01,Klay Thompson,Team.DALLAS_MAVERICKS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,1737,11,17,3,6,0,0,0,3,4,0,0,0,1,13.0,20.8,2025-02-06
greenja05,Jalen Green,Team.HOUSTON_ROCKETS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,2278,9,22,3,8,7,10,1,5,5,1,0,1,0,-14.0,20.7,2025-02-06
hardeja01,James Harden,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.INDIANA_PACERS,Outcome.LOSS,2265,7,14,4,9,4,5,1,5,10,1,0,4,2,10.0,20.0,2025-02-06
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,2225,13,35,6,20,5,5,2,5,4,1,1,4,3,-3.0,19.9,2025-02-06
dinwisp01,Spencer Dinwiddie,Team.DALLAS_MAVERICKS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,1833,7,10,3,5,5,5,0,2,2,1,0,1,0,-18.0,19.8,2025-02-06
zubaciv01,Ivica Zubac,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.INDIANA_PACERS,Outcome.LOSS,2089,8,11,0,0,2,2,4,11,2,1,0,2,3,-7.0,18.8,2025-02-06
brownja02,Jaylen Brown,Team.BOSTON_CELTICS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.LOSS,1960,9,16,3,4,4,4,0,5,2,1,0,3,1,-15.0,17.9,2025-02-06
sengual01,Alperen Şengün,Team.HOUSTON_ROCKETS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1960,6,11,1,2,3,4,3,7,7,2,0,2,4,-21.0,17.8,2025-02-06
pritcpa01,Payton Pritchard,Team.BOSTON_CELTICS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.LOSS,1972,9,15,3,9,0,0,1,5,6,0,1,2,4,-3.0,17.6,2025-02-06
conlemi01,Mike Conley,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,1711,6,8,4,4,0,0,0,3,5,1,1,1,1,12.0,17.5,2025-02-06
thompam01,Amen Thompson,Team.HOUSTON_ROCKETS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,2238,6,10,0,0,4,6,2,1,5,1,2,1,0,-15.0,17.2,2025-02-06
aytonde01,Deandre Ayton,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,1831,7,14,0,0,4,4,3,5,4,0,2,1,2,-2.0,17.0,2025-02-06
halibty01,Tyrese Haliburton,Team.INDIANA_PACERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,2047,5,13,2,7,2,2,0,3,8,4,1,1,1,7.0,16.7,2025-02-06
braunch01,Christian Braun,Team.DENVER_NUGGETS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,2168,8,12,0,0,0,1,1,7,4,3,0,1,4,30.0,16.4,2025-02-06
banchpa01,Paolo Banchero,Team.ORLANDO_MAGIC,Location.AWAY,Team.DENVER_NUGGETS,Outcome.LOSS,1781,6,14,1,3,5,8,0,8,4,1,3,1,3,-19.0,15.5,2025-02-06
cartewe01,Wendell Carter Jr.,Team.ORLANDO_MAGIC,Location.AWAY,Team.DENVER_NUGGETS,Outcome.LOSS,1569,7,9,1,3,4,5,3,1,0,1,0,2,3,-25.0,15.3,2025-02-06
easonta01,Tari Eason,Team.HOUSTON_ROCKETS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1702,4,5,0,0,2,2,1,3,2,5,3,2,3,0.0,15.0,2025-02-06
reaveau01,Austin Reaves,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,2131,4,17,0,9,15,16,1,2,4,3,1,4,3,2.0,14.9,2025-02-06
irvinky01,Kyrie Irving,Team.DALLAS_MAVERICKS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,2391,7,17,3,6,2,2,2,1,4,4,0,3,2,0.0,14.6,2025-02-06
reidna01,Naz Reid,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,2132,6,16,2,8,1,1,4,7,4,2,2,2,2,25.0,14.5,2025-02-06
sharpsh01,Shaedon Sharpe,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,1868,9,18,3,9,3,4,0,4,1,0,0,2,0,11.0,14.5,2025-02-06
monkma01,Malik Monk,Team.SACRAMENTO_KINGS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,2315,8,20,2,6,3,4,2,5,4,2,1,3,2,1.0,14.4,2025-02-06
clarkja02,Jaylen Clark,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,1127,5,9,4,6,3,4,3,0,1,0,0,0,2,-8.0,14.3,2025-02-06
greendr01,Draymond Green,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,1972,5,7,2,2,1,3,0,5,4,2,1,0,5,-1.0,14.3,2025-02-06
marshna01,Naji Marshall,Team.DALLAS_MAVERICKS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,1712,9,15,2,6,0,0,1,1,3,1,0,2,3,-4.0,14.0,2025-02-06
gaffoda01,Daniel Gafford,Team.DALLAS_MAVERICKS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,2022,3,4,0,0,2,3,2,13,5,0,2,1,4,8.0,13.6,2025-02-06
exumda01,Danté Exum,Team.DALLAS_MAVERICKS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,1183,5,8,4,6,1,2,0,0,5,0,0,1,0,29.0,13.5,2025-02-06
bryanth01,Thomas Bryant,Team.INDIANA_PACERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,1680,4,10,2,5,2,2,4,6,4,0,1,1,1,2.0,13.3,2025-02-06
lavinza01,Zach LaVine,Team.SACRAMENTO_KINGS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,2208,8,19,3,9,3,4,0,4,1,0,1,0,2,-1.0,13.3,2025-02-06
chrisma02,Max Christie,Team.DALLAS_MAVERICKS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,1791,6,13,0,3,3,5,2,4,4,0,1,0,1,5.0,13.2,2025-02-06
gordoaa01,Aaron Gordon,Team.DENVER_NUGGETS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,1356,3,6,1,2,4,7,1,2,7,0,1,1,2,10.0,11.9,2025-02-06
hayesja02,Jaxson Hayes,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,1499,4,6,0,0,3,4,1,2,2,1,1,0,3,7.0,11.2,2025-02-06
sheppbe01,Ben Sheppard,Team.INDIANA_PACERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,916,5,7,2,4,0,0,0,1,0,2,1,0,3,3.0,10.9,2025-02-06
