slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
pritcpa01,Payton Pritchard,Team.BOSTON_CELTICS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,2571,14,20,10,16,5,5,4,6,5,0,0,0,2,12.0,41.9,2025-03-05
hardeja01,James Harden,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,2307,14,24,6,13,16,20,0,4,5,1,1,5,2,13.0,37.8,2025-03-05
whitede01,Derrick White,Team.BOSTON_CELTICS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,2352,14,26,9,17,4,4,0,3,2,3,1,1,0,8.0,33.4,2025-03-05
adebaba01,Bam Adebayo,Team.MIAMI_HEAT,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,2253,11,18,3,5,9,9,2,10,5,2,0,2,1,-1.0,33.3,2025-03-05
lillada01,Damian Lillard,Team.MILWAUKEE_BUCKS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,1604,11,15,5,8,7,7,0,3,5,2,0,2,0,28.0,32.3,2025-03-05
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2083,14,25,3,5,10,10,0,2,8,2,0,4,5,19.0,31.3,2025-03-05
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,1490,13,20,0,0,6,6,4,11,4,1,0,3,3,30.0,28.9,2025-03-05
cunnica01,Cade Cunningham,Team.DETROIT_PISTONS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,2334,15,25,2,7,5,6,0,7,10,1,0,5,5,-10.0,28.2,2025-03-05
mcdanja02,Jaden McDaniels,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.WIN,2255,13,21,3,9,0,0,4,6,4,2,0,1,2,12.0,27.1,2025-03-05
simonan01,Anfernee Simons,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.LOSS,2300,12,21,3,10,3,3,0,1,6,1,0,0,1,-11.0,25.2,2025-03-05
murraja01,Jamal Murray,Team.DENVER_NUGGETS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,2298,4,10,2,6,14,15,0,4,8,0,1,0,3,21.0,24.5,2025-03-05
edwaran01,Anthony Edwards,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.WIN,2293,9,20,6,13,5,8,0,3,6,2,1,0,2,12.0,24.4,2025-03-05
randlju01,Julius Randle,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.WIN,2134,8,18,2,7,7,8,4,6,9,0,0,2,3,14.0,22.9,2025-03-05
juzanjo01,Johnny Juzang,Team.UTAH_JAZZ,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.LOSS,1781,10,15,5,9,2,3,1,6,2,0,1,1,4,1.0,22.1,2025-03-05
