slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
marshna01,Naji Marshall,Team.DALLAS_MAVERICKS,Location.HOME,Team.PHOENIX_SUNS,Outcome.LOSS,2437,13,22,3,7,5,6,1,8,10,2,0,2,1,5.0,33.1,2025-03-09
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.DENVER_NUGGETS,Outcome.WIN,2125,15,32,2,11,8,8,2,6,5,0,3,1,3,11.0,30.2,2025-03-09
willija06,Jalen Williams,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.DENVER_NUGGETS,Outcome.WIN,2291,7,14,2,4,10,11,2,7,8,2,1,1,0,17.0,29.4,2025-03-09
derozde01,DeMar DeRozan,Team.SACRAMENTO_KINGS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,2655,9,20,1,7,12,12,1,6,10,1,0,1,3,-1.0,28.9,2025-03-09
banede01,Desmond Bane,Team.MEMPHIS_GRIZZLIES,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,2278,13,23,2,8,2,2,1,8,8,2,0,2,3,4.0,26.6,2025-03-09
moranja01,Ja Morant,Team.MEMPHIS_GRIZZLIES,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,2195,11,23,3,9,7,11,1,3,6,3,0,1,3,11.0,25.3,2025-03-09
hardeja01,James Harden,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,2615,10,19,3,11,6,8,0,9,11,0,0,5,0,-5.0,24.3,2025-03-09
simonan01,Anfernee Simons,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,2145,14,26,4,13,2,2,0,2,1,1,0,1,2,-13.0,21.9,2025-03-09
filipky01,Kyle Filipowski,Team.UTAH_JAZZ,Location.AWAY,Team.PHILADELPHIA_76ERS,Outcome.LOSS,1840,8,16,4,9,5,7,3,4,3,3,0,1,5,19.0,21.6,2025-03-09
walkelo01,Lonnie Walker IV,Team.PHILADELPHIA_76ERS,Location.HOME,Team.UTAH_JAZZ,Outcome.WIN,2043,8,18,3,9,6,6,1,10,5,1,0,2,1,8.0,21.4,2025-03-09
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2474,10,23,2,10,2,6,2,11,9,1,3,2,3,-13.0,21.2,2025-03-09
zubaciv01,Ivica Zubac,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,2644,9,14,0,0,4,8,1,13,2,1,1,0,2,3.0,21.1,2025-03-09
bealbr01,Bradley Beal,Team.PHOENIX_SUNS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.WIN,1713,7,10,3,5,2,2,0,3,6,1,0,0,0,7.0,20.9,2025-03-09
grimequ01,Quentin Grimes,Team.PHILADELPHIA_76ERS,Location.HOME,Team.UTAH_JAZZ,Outcome.WIN,1643,6,13,4,9,9,9,0,1,6,2,1,3,4,-17.0,20.9,2025-03-09
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,2020,13,24,0,0,4,8,4,5,3,2,0,4,1,-13.0,20.8,2025-03-09
edwaran01,Anthony Edwards,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,1812,10,15,2,5,3,3,1,2,3,1,0,3,0,11.0,19.9,2025-03-09
lavinza01,Zach LaVine,Team.SACRAMENTO_KINGS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,2641,12,22,1,7,5,5,1,6,2,0,0,3,1,5.0,19.9,2025-03-09
harrito02,Tobias Harris,Team.DETROIT_PISTONS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,2216,9,13,1,3,1,2,2,7,2,0,2,0,3,12.0,19.2,2025-03-09
durenja01,Jalen Duren,Team.DETROIT_PISTONS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1715,7,10,0,0,4,4,2,10,2,2,0,1,5,9.0,18.6,2025-03-09
thompkl01,Klay Thompson,Team.DALLAS_MAVERICKS,Location.HOME,Team.PHOENIX_SUNS,Outcome.LOSS,1907,8,20,5,14,5,5,0,5,4,1,0,2,1,-11.0,18.1,2025-03-09
mcdanja02,Jaden McDaniels,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,1816,7,12,2,3,0,0,2,2,7,2,0,1,1,6.0,17.9,2025-03-09
castlst01,Stephon Castle,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1658,7,15,0,2,6,9,4,3,4,1,0,0,2,-13.0,17.8,2025-03-09
foxde01,De'Aaron Fox,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1630,8,12,4,6,2,2,0,2,3,0,0,1,2,-23.0,17.7,2025-03-09
