slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.AWAY,Team.CHICAGO_BULLS,Outcome.WIN,2143,12,18,4,8,7,10,1,13,5,1,1,3,0,13.0,32.8,2024-11-29
vucevni01,Nikola Vučević,Team.CHICAGO_BULLS,Location.HOME,Team.BOSTON_CELTICS,Outcome.LOSS,2045,11,16,6,9,4,6,0,11,3,0,1,0,3,-19.0,29.3,2024-11-29
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.WIN,2219,13,28,3,10,7,8,3,3,9,2,1,3,3,13.0,29.0,2024-11-29
wagnefr01,Franz Wagner,Team.ORLANDO_MAGIC,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,2110,12,20,3,6,2,2,1,7,8,2,1,3,0,35.0,27.9,2024-11-29
pritcpa01,Payton Pritchard,Team.BOSTON_CELTICS,Location.AWAY,Team.CHICAGO_BULLS,Outcome.WIN,1711,10,16,7,11,2,2,4,3,1,1,0,0,1,11.0,26.8,2024-11-29
butleji01,Jimmy Butler,Team.MIAMI_HEAT,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2055,8,14,2,4,8,9,0,2,6,2,0,0,1,13.0,25.4,2024-11-29
sabondo01,Domantas Sabonis,Team.SACRAMENTO_KINGS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,2457,8,10,2,3,3,4,2,12,11,1,1,5,2,-7.0,25.4,2024-11-29
brunsja01,Jalen Brunson,Team.NEW_YORK_KNICKS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.WIN,2201,9,18,4,6,9,12,0,6,6,1,1,2,4,0.0,24.9,2024-11-29
barnesc01,Scottie Barnes,Team.TORONTO_RAPTORS,Location.AWAY,Team.MIAMI_HEAT,Outcome.LOSS,2295,8,15,3,8,5,6,1,9,10,1,1,5,1,0.0,23.0,2024-11-29
garlada01,Darius Garland,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,1981,11,19,5,8,2,2,1,2,5,1,0,2,3,-4.0,22.7,2024-11-29
mobleev01,Evan Mobley,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,2207,10,17,0,3,4,4,4,8,3,1,0,1,2,-6.0,22.6,2024-11-29
mccolcj01,CJ McCollum,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,2133,11,19,3,7,5,8,2,2,2,1,0,1,3,0.0,22.1,2024-11-29
caldwke01,Kentavious Caldwell-Pope,Team.ORLANDO_MAGIC,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,1745,7,8,4,5,1,1,2,0,3,2,1,0,1,31.0,22.0,2024-11-29
moranja01,Ja Morant,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1713,10,18,0,4,7,7,0,3,7,3,0,5,1,7.0,21.8,2024-11-29
monkma01,Malik Monk,Team.SACRAMENTO_KINGS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,2167,10,21,8,15,1,1,0,3,9,0,2,5,1,-3.0,21.5,2024-11-29
poeltja01,Jakob Poeltl,Team.TORONTO_RAPTORS,Location.AWAY,Team.MIAMI_HEAT,Outcome.LOSS,1944,10,11,0,0,4,5,4,6,1,0,1,2,6,-2.0,21.5,2024-11-29
beaslma01,Malik Beasley,Team.DETROIT_PISTONS,Location.AWAY,Team.INDIANA_PACERS,Outcome.WIN,1725,10,14,5,9,0,1,0,1,1,2,0,0,1,30.0,21.4,2024-11-29
davisan02,Anthony Davis,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2264,5,9,0,0,5,7,2,10,7,1,4,1,2,-5.0,21.2,2024-11-29
iveyja01,Jaden Ivey,Team.DETROIT_PISTONS,Location.AWAY,Team.INDIANA_PACERS,Outcome.WIN,1884,8,13,3,8,4,4,1,4,6,1,0,3,0,15.0,21.2,2024-11-29
aytonde01,Deandre Ayton,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,2457,11,19,0,2,4,6,2,7,2,1,1,1,2,7.0,21.1,2024-11-29
avdijde01,Deni Avdija,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,2200,7,15,4,9,2,2,1,8,5,2,1,0,3,12.0,20.4,2024-11-29
simonan01,Anfernee Simons,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,2442,8,14,3,8,2,2,0,5,9,2,0,4,1,9.0,19.8,2024-11-29
huntede01,De'Andre Hunter,Team.ATLANTA_HAWKS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.WIN,1676,7,12,4,7,5,5,0,5,3,0,0,1,1,14.0,19.6,2024-11-29
aldamsa01,Santi Aldama,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1638,8,9,3,3,1,2,0,6,4,0,1,2,2,12.0,19.0,2024-11-29
cunnica01,Cade Cunningham,Team.DETROIT_PISTONS,Location.AWAY,Team.INDIANA_PACERS,Outcome.WIN,1978,10,19,4,6,0,0,0,6,11,2,0,6,3,13.0,19.0,2024-11-29
johnsja05,Jalen Johnson,Team.ATLANTA_HAWKS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.WIN,2099,9,14,2,4,0,0,0,9,7,1,0,3,2,17.0,18.6,2024-11-29
hardeja01,James Harden,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,2205,7,20,3,9,3,4,0,6,11,5,0,4,1,-3.0,18.5,2024-11-29
jacksja02,Jaren Jackson Jr.,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1697,9,18,0,5,5,5,3,5,1,1,2,1,3,3.0,18.5,2024-11-29
