slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
townska01,Karl-Anthony Towns,Team.NEW_YORK_KNICKS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,2258,10,12,5,5,7,9,3,17,6,2,0,4,2,31.0,35.4,2024-12-19
wembavi01,Victor Wembanyama,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.ATLANTA_HAWKS,Outcome.WIN,2233,13,24,7,15,9,12,0,6,5,2,4,5,0,17.0,34.3,2024-12-19
johnsca02,Cameron Johnson,Team.BROOKLYN_NETS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.WIN,2061,9,15,4,10,11,12,0,10,6,0,2,2,3,11.0,31.1,2024-12-19
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,2197,13,18,4,6,4,4,0,6,8,1,0,3,4,-5.0,30.4,2024-12-19
lavinza01,Zach LaVine,Team.CHICAGO_BULLS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,1980,11,19,6,11,8,9,0,6,4,0,0,1,1,8.0,29.9,2024-12-19
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.ORLANDO_MAGIC,Outcome.WIN,2185,15,26,1,5,4,4,0,4,6,4,2,4,1,-6.0,29.2,2024-12-19
ballla01,LaMelo Ball,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.LOSS,2012,11,32,3,18,9,10,1,3,13,4,0,1,3,3.0,28.1,2024-12-19
duranke01,Kevin Durant,Team.PHOENIX_SUNS,Location.HOME,Team.INDIANA_PACERS,Outcome.LOSS,2276,15,27,3,6,4,6,0,10,6,1,0,5,1,-12.0,26.1,2024-12-19
markkla01,Lauri Markkanen,Team.UTAH_JAZZ,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2170,7,15,3,9,10,10,3,11,1,1,1,1,0,17.0,26.1,2024-12-19
powelno01,Norman Powell,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.WIN,2254,10,19,4,8,5,5,1,6,5,3,0,2,2,17.0,25.9,2024-12-19
cunnica01,Cade Cunningham,Team.DETROIT_PISTONS,Location.HOME,Team.UTAH_JAZZ,Outcome.LOSS,2320,13,23,3,8,4,4,0,4,7,1,4,4,6,-5.0,25.6,2024-12-19
bridgmi01,Mikal Bridges,Team.NEW_YORK_KNICKS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,2136,12,18,4,8,1,1,2,4,6,1,0,3,2,35.0,25.2,2024-12-19
zubaciv01,Ivica Zubac,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.WIN,1999,10,13,0,0,1,2,3,12,5,2,0,1,2,15.0,24.9,2024-12-19
