slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,2197,15,17,0,0,5,9,0,4,12,0,0,1,5,-14.0,34.1,2024-02-15
edwaran01,Anthony Edwards,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1957,12,21,3,7,7,8,1,5,7,2,1,1,1,36.0,32.1,2024-02-15
sextoco01,Collin Sexton,Team.UTAH_JAZZ,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2032,10,18,3,8,12,13,1,2,9,1,1,3,2,15.0,31.5,2024-02-15
thompkl01,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,1683,13,22,7,13,2,2,0,6,2,0,0,0,0,7.0,28.0,2024-02-15
willizi02,Ziaire Williams,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,2182,9,13,4,7,5,7,0,4,4,3,0,2,1,-2.0,25.3,2024-02-15
georgke01,Keyonte George,Team.UTAH_JAZZ,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2433,11,22,9,16,2,3,0,2,6,3,0,2,6,7.0,25.0,2024-02-15
greendr01,Draymond Green,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,1729,9,14,3,5,2,4,0,5,5,4,2,0,4,-6.0,24.8,2024-02-15
willivi01,Vince Williams Jr.,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,2046,7,11,0,2,4,4,1,11,7,2,0,2,5,10.0,20.0,2024-02-15
townska01,Karl-Anthony Towns,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1784,8,13,1,2,6,6,2,6,1,1,2,3,3,22.0,19.2,2024-02-15
collijo01,John Collins,Team.UTAH_JAZZ,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1835,8,14,1,3,1,1,4,9,2,1,1,1,4,0.0,17.4,2024-02-15
lillada01,Damian Lillard,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,2098,7,21,3,13,7,7,2,3,7,1,0,4,2,10.0,15.5,2024-02-15
jacksgg01,GG Jackson II,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,1790,10,17,6,10,1,3,0,1,0,0,1,3,3,12.0,15.1,2024-02-15
lopezbr01,Brook Lopez,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,2077,5,14,2,9,2,2,2,9,2,2,4,1,2,8.0,14.7,2024-02-15
wiggian01,Andrew Wiggins,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,1718,7,12,3,4,2,2,3,4,2,0,0,3,2,-14.0,14.3,2024-02-15
camarto01,Toumani Camara,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1098,5,5,1,1,2,3,1,4,2,0,2,1,2,-7.0,14.0,2024-02-15
conlemi01,Mike Conley,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1338,3,6,2,4,4,4,2,2,3,1,0,0,1,6.0,13.7,2024-02-15
grantje01,Jerami Grant,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1994,6,14,2,4,6,6,1,1,0,0,1,0,2,-19.0,13.5,2024-02-15
mcdanja02,Jaden McDaniels,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1680,6,11,1,4,4,4,1,4,1,2,0,2,2,22.0,13.5,2024-02-15
kuminjo01,Jonathan Kuminga,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,1468,5,6,0,0,3,4,1,4,4,0,1,2,1,-5.0,13.4,2024-02-15
markkla01,Lauri Markkanen,Team.UTAH_JAZZ,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2037,6,23,4,11,4,4,5,9,3,0,0,1,1,8.0,13.2,2024-02-15
podzibr01,Brandin Podziemski,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,2026,5,12,3,7,0,0,3,3,8,0,0,2,1,5.0,12.8,2024-02-15
clarkjo01,Jordan Clarkson,Team.UTAH_JAZZ,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1999,3,8,1,5,6,7,2,0,9,0,0,3,2,-12.0,12.1,2024-02-15
portibo01,Bobby Portis,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,1486,7,12,1,1,0,0,3,4,2,0,0,2,1,0.0,11.7,2024-02-15
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,2128,4,14,2,8,6,8,1,1,10,1,0,4,2,-2.0,11.2,2024-02-15
morrimo01,Monte Morris,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,924,5,8,1,4,1,1,0,1,3,1,0,1,0,-4.0,10.8,2024-02-15
aldamsa01,Santi Aldama,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,1951,3,4,1,1,0,0,0,3,7,0,1,1,1,4.0,10.5,2024-02-15
goberru01,Rudy Gobert,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1579,4,7,0,0,3,4,2,10,2,0,2,3,4,19.0,9.9,2024-02-15
goodwjo01,Jordan Goodwin,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,1736,5,12,1,3,0,0,2,5,3,2,0,2,1,-8.0,9.2,2024-02-15
hendesc01,Scoot Henderson,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1867,5,12,0,4,5,6,0,1,4,1,0,3,1,-17.0,8.9,2024-02-15
quinole01,Lester Quiñones,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,988,1,2,1,2,3,4,0,1,4,1,0,0,1,10.0,8.3,2024-02-15
walkeja01,Jabari Walker,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1465,3,6,0,1,2,2,1,3,1,1,0,0,1,-24.0,7.9,2024-02-15
dunnkr01,Kris Dunn,Team.UTAH_JAZZ,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1257,2,3,2,3,2,2,1,4,1,2,0,3,2,-13.0,7.5,2024-02-15
stevela01,Lamar Stevens,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,1730,6,10,1,1,0,3,0,5,1,1,0,3,1,5.0,7.0,2024-02-15
kesslwa01,Walker Kessler,Team.UTAH_JAZZ,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1519,1,2,0,1,2,2,3,3,2,1,1,1,3,1.0,6.9,2024-02-15
saricda01,Dario Šarić,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,604,2,4,1,3,2,2,1,2,2,0,0,1,2,4.0,5.9,2024-02-15
jemistr01,Trey Jemison,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,1398,4,11,0,0,2,2,4,2,2,0,1,2,4,-10.0,5.8,2024-02-15
reidna01,Naz Reid,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1344,4,8,2,2,0,0,1,2,0,0,0,0,4,16.0,5.7,2024-02-15
paytoga02,Gary Payton II,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,905,2,3,0,0,0,0,2,1,0,2,1,1,2,7.0,5.3,2024-02-15
jackstr02,Trayce Jackson-Davis,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,468,1,2,0,0,2,2,0,1,2,0,1,0,2,1.0,4.6,2024-02-15
nixda01,Daishen Nix,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,317,2,3,1,2,0,0,0,0,0,1,0,0,1,6.0,4.3,2024-02-15
beaslma01,Malik Beasley,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,1785,3,10,3,10,0,0,0,2,0,2,0,0,4,4.0,4.2,2024-02-15
greenaj01,A.J. Green,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,845,2,4,2,4,0,0,0,1,1,1,0,1,2,0.0,4.2,2024-02-15
hendrta01,Taylor Hendricks,Team.UTAH_JAZZ,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,959,1,1,1,1,0,0,1,2,0,2,0,2,0,-12.0,4.0,2024-02-15
crowdja01,Jae Crowder,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,1448,2,4,0,2,0,0,1,4,0,1,0,1,2,-5.0,3.1,2024-02-15
connapa01,Pat Connaughton,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,1432,1,3,0,1,0,0,2,3,0,2,1,2,1,2.0,2.9,2024-02-15
looneke01,Kevon Looney,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,683,0,1,0,0,0,0,2,0,3,0,1,0,2,8.0,2.7,2024-02-15
badjiib01,Ibou Badji,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,685,1,2,0,0,1,2,1,1,1,0,1,1,1,-14.0,2.6,2024-02-15
aytonde01,Deandre Ayton,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1189,1,5,0,0,0,0,0,4,3,3,1,1,6,-9.0,2.5,2024-02-15
anderky01,Kyle Anderson,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1242,1,4,0,0,0,0,2,5,3,0,0,2,1,16.0,2.2,2024-02-15
bantoda01,Dalano Banton,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1100,1,4,0,0,2,4,0,2,0,2,0,1,1,-12.0,2.0,2024-02-15
haganas01,Ashton Hagans,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,317,1,1,0,0,0,0,0,1,0,0,0,0,0,-6.0,2.0,2024-02-15
hortota01,Talen Horton-Tucker,Team.UTAH_JAZZ,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,329,1,2,1,1,0,0,0,0,1,0,0,0,2,-9.0,1.9,2024-02-15
simonan01,Anfernee Simons,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1967,4,15,3,8,1,1,0,5,6,0,0,5,5,-18.0,1.8,2024-02-15
gilyaja01,Jacob Gilyard,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,901,0,3,0,1,0,0,0,1,5,1,0,1,0,6.0,1.7,2024-02-15
murrakr01,Kris Murray,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,720,2,5,1,3,1,4,1,3,0,0,0,2,1,-14.0,1.3,2024-02-15
minotjo01,Josh Minott,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,317,0,0,0,0,0,0,0,4,0,0,0,0,0,6.0,1.2,2024-02-15
minayju01,Justin Minaya,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,317,0,1,0,1,0,0,1,1,1,0,0,0,0,-6.0,1.0,2024-02-15
reathdu01,Duop Reath,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1006,2,9,1,5,1,2,3,0,0,0,0,1,1,-14.0,0.8,2024-02-15
millele01,Leonard Miller,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,289,0,1,0,0,0,0,0,0,2,0,0,0,0,8.0,0.7,2024-02-15
watanyu01,Yuta Watanabe,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,666,0,2,0,1,0,0,0,1,1,0,0,0,0,-2.0,-0.4,2024-02-15
mclaujo01,Jordan McLaughlin,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,387,0,1,0,1,0,0,0,0,1,0,0,0,2,6.0,-0.8,2024-02-15
beverpa01,Patrick Beverley,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,853,0,4,0,4,1,2,1,3,0,1,0,1,1,-16.0,-1.0,2024-02-15
jacksan01,Andre Jackson Jr.,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,179,0,1,0,0,0,0,0,0,0,0,0,0,2,-4.0,-1.5,2024-02-15
thybuma01,Matisse Thybulle,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,675,0,4,0,2,0,0,0,0,0,1,0,0,2,-25.0,-2.6,2024-02-15
alexani01,Nickeil Alexander-Walker,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1242,1,6,0,4,0,0,0,2,1,0,0,1,3,26.0,-2.7,2024-02-15
