slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
halibty01,Tyrese Haliburton,Team.INDIANA_PACERS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,1991,12,15,7,9,2,2,0,3,11,3,2,1,0,24.0,39.3,2025-02-26
sharpda01,Day'Ron Sharpe,Team.BROOKLYN_NETS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,1862,8,10,2,3,7,7,7,8,5,2,3,2,4,20.0,32.5,2025-02-26
kesslwa01,Walker Kessler,Team.UTAH_JAZZ,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.LOSS,2029,10,10,0,0,5,7,2,12,5,2,0,0,2,-2.0,30.9,2025-02-26
brunsja01,Jalen Brunson,Team.NEW_YORK_KNICKS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,2189,8,17,3,5,15,16,0,3,7,1,0,2,1,3.0,29.3,2025-02-26
holmgch01,Chet Holmgren,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,1923,7,12,2,4,6,7,4,13,4,2,3,0,1,14.0,29.2,2025-02-26
sharpsh01,Shaedon Sharpe,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.WIN,1995,13,26,3,7,7,10,3,5,5,1,1,3,3,3.0,26.4,2025-02-26
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,2010,7,11,1,2,12,13,2,4,5,2,0,3,2,-15.0,26.0,2025-02-26
beaslma01,Malik Beasley,Team.DETROIT_PISTONS,Location.HOME,Team.BOSTON_CELTICS,Outcome.WIN,1299,10,15,6,11,0,0,2,3,2,1,1,0,0,12.0,24.9,2025-02-26
thompam01,Amen Thompson,Team.HOUSTON_ROCKETS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,1799,12,15,1,3,0,0,4,5,5,0,2,2,4,26.0,24.9,2025-02-26
colliza01,Zach Collins,Team.CHICAGO_BULLS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,2287,8,14,2,4,3,5,7,10,7,2,0,3,3,6.0,24.2,2025-02-26
oubreke01,Kelly Oubre Jr.,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.LOSS,2507,9,14,4,6,5,6,1,4,1,3,1,1,4,-9.0,24.1,2025-02-26
bridgmi01,Mikal Bridges,Team.NEW_YORK_KNICKS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,2482,12,18,3,5,1,2,0,2,3,2,1,1,1,1.0,23.8,2025-02-26
herroty01,Tyler Herro,Team.MIAMI_HEAT,Location.HOME,Team.ATLANTA_HAWKS,Outcome.WIN,2063,7,16,4,8,6,7,0,2,10,3,0,2,1,9.0,23.4,2025-02-26
murrake02,Keegan Murray,Team.SACRAMENTO_KINGS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,1971,9,16,5,10,3,4,1,5,2,0,2,0,1,6.0,22.6,2025-02-26
