slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.INDIANA_PACERS,Outcome.WIN,2279,15,22,4,5,11,11,0,7,8,1,2,1,2,10.0,43.9,2024-12-26
johnsja05,Jalen Johnson,Team.ATLANTA_HAWKS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,2343,11,16,0,2,8,9,5,10,4,2,0,2,2,7.0,31.3,2024-12-26
youngtr01,Trae Young,Team.ATLANTA_HAWKS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,2324,8,17,4,11,7,7,1,1,13,2,0,2,2,20.0,27.6,2024-12-26
barrerj01,RJ Barrett,Team.TORONTO_RAPTORS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,2030,10,18,2,5,5,7,3,6,10,0,0,2,2,-14.0,25.7,2024-12-26
lavinza01,Zach LaVine,Team.CHICAGO_BULLS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,2164,14,25,7,9,2,2,1,4,7,1,1,7,3,-8.0,25.4,2024-12-26
avdijde01,Deni Avdija,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.UTAH_JAZZ,Outcome.WIN,1857,9,13,2,4,7,10,0,8,6,1,1,2,4,11.0,25.0,2024-12-26
edeyza01,Zach Edey,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,1637,9,15,1,5,2,5,9,7,2,0,2,0,0,29.0,24.1,2024-12-26
greenja05,Jalen Green,Team.HOUSTON_ROCKETS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1776,12,21,6,11,0,0,0,2,2,2,0,0,1,30.0,23.7,2024-12-26
markkla01,Lauri Markkanen,Team.UTAH_JAZZ,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,1824,8,14,4,8,5,6,3,3,1,3,0,1,1,5.0,23.3,2024-12-26
cunnica01,Cade Cunningham,Team.DETROIT_PISTONS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,2291,9,24,4,11,11,12,0,4,10,0,0,3,4,8.0,23.0,2024-12-26
sharpsh01,Shaedon Sharpe,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.UTAH_JAZZ,Outcome.WIN,1842,11,18,5,10,0,0,0,5,3,0,2,0,2,7.0,23.0,2024-12-26
bridgmi02,Miles Bridges,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.LOSS,2023,8,17,4,9,2,2,1,13,6,1,2,2,0,1.0,22.5,2024-12-26
whitmca01,Cam Whitmore,Team.HOUSTON_ROCKETS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1634,9,16,4,8,5,6,1,3,1,1,0,0,0,8.0,22.3,2024-12-26
vanvlfr01,Fred VanVleet,Team.HOUSTON_ROCKETS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1543,8,15,7,12,2,2,4,2,4,1,0,2,2,14.0,22.1,2024-12-26
carteje01,Jevon Carter,Team.CHICAGO_BULLS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,2157,9,15,7,11,1,2,0,4,5,1,0,2,3,7.0,21.2,2024-12-26
whiteco01,Coby White,Team.CHICAGO_BULLS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,2063,8,13,5,8,2,2,0,3,9,1,0,3,3,-16.0,21.1,2024-12-26
