slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
davisan02,Anthony Davis,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,2400,15,21,1,2,5,5,3,13,3,2,1,2,4,11.0,34.5,2024-03-24
willizi01,Zion Williamson,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2189,13,14,0,0,10,14,1,6,6,2,0,4,2,18.0,33.7,2024-03-24
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,2019,13,18,0,0,4,6,8,11,4,0,1,3,3,7.0,30.0,2024-03-24
siakapa01,Pascal Siakam,Team.INDIANA_PACERS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,1955,16,29,0,2,4,8,4,8,2,0,0,1,3,-11.0,24.9,2024-03-24
reaveau01,Austin Reaves,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,2249,6,13,2,5,11,12,1,4,8,0,1,2,1,4.0,23.7,2024-03-24
jamesle01,LeBron James,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,2288,8,19,2,4,8,8,1,4,10,1,1,3,1,12.0,23.1,2024-03-24
dinwisp01,Spencer Dinwiddie,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,2117,8,11,2,3,8,9,0,2,5,1,2,3,4,0.0,23.0,2024-03-24
adebaba01,Bam Adebayo,Team.MIAMI_HEAT,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.WIN,1662,7,11,0,1,1,2,3,13,3,5,0,1,0,27.0,21.8,2024-03-24
maxeyty01,Tyrese Maxey,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,2664,9,17,3,5,3,4,1,0,6,1,1,0,2,15.0,21.1,2024-03-24
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1791,9,21,5,11,8,8,0,4,3,0,0,2,1,6.0,20.8,2024-03-24
