slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
bookede01,Devin Booker,Team.PHOENIX_SUNS,Location.HOME,Team.UTAH_JAZZ,Outcome.WIN,2187,12,20,6,12,4,4,2,3,4,2,0,3,3,16.0,27.7,2025-01-11
divindo01,Donte DiVincenzo,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,2173,9,14,6,11,3,3,1,9,7,2,0,3,2,-1.0,27.3,2025-01-11
herroty01,Tyler Herro,Team.MIAMI_HEAT,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1899,11,22,7,14,3,4,2,3,5,0,0,1,1,9.0,25.0,2025-01-11
hardati02,Tim Hardaway Jr.,Team.DETROIT_PISTONS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,1896,9,13,7,8,2,3,0,3,1,2,0,1,0,22.0,23.7,2025-01-11
jacksja02,Jaren Jackson Jr.,Team.MEMPHIS_GRIZZLIES,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,2036,13,24,2,5,5,7,4,4,1,1,0,2,3,6.0,23.1,2025-01-11
mcdanja02,Jaden McDaniels,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,1775,9,12,3,4,0,0,1,5,1,3,2,1,2,1.0,21.7,2025-01-11
jovicni01,Nikola Jović,Team.MIAMI_HEAT,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1914,8,12,4,7,1,1,1,7,5,1,1,1,4,20.0,21.2,2025-01-11
cunnica01,Cade Cunningham,Team.DETROIT_PISTONS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2228,8,17,2,4,4,5,1,9,17,1,2,8,4,23.0,21.0,2025-01-11
highsha01,Haywood Highsmith,Team.MIAMI_HEAT,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,2202,5,8,4,5,0,0,1,2,4,5,0,0,1,13.0,19.1,2025-01-11
kesslwa01,Walker Kessler,Team.UTAH_JAZZ,Location.AWAY,Team.PHOENIX_SUNS,Outcome.LOSS,1871,7,9,0,0,2,3,7,6,0,0,2,1,1,-4.0,18.8,2025-01-11
