slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
derozde01,DeMar DeRozan,Team.SACRAMENTO_KINGS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2032,10,14,4,7,10,10,0,4,6,1,0,1,1,-8.0,33.2,2025-02-21
irvinky01,Kyrie Irving,Team.DALLAS_MAVERICKS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,2234,11,22,5,12,8,8,0,2,4,0,1,1,3,5.0,25.9,2025-02-21
durenja01,Jalen Duren,Team.DETROIT_PISTONS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.WIN,1605,10,14,0,0,1,1,5,10,5,1,1,1,2,21.0,25.1,2025-02-21
barrerj01,RJ Barrett,Team.TORONTO_RAPTORS,Location.HOME,Team.MIAMI_HEAT,Outcome.LOSS,2291,11,17,4,6,3,4,0,3,4,2,0,1,2,-1.0,25.0,2025-02-21
johnske04,Keldon Johnson,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,1818,11,13,1,1,5,9,3,1,5,0,0,2,2,10.0,24.8,2025-02-21
willizi01,Zion Williamson,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.LOSS,1642,11,15,0,0,7,11,3,4,3,2,0,3,3,0.0,24.5,2025-02-21
foxde01,De'Aaron Fox,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,1809,11,18,3,7,2,2,0,5,5,4,0,3,1,-35.0,24.4,2025-02-21
mitchdo01,Donovan Mitchell,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,1568,10,15,5,7,2,3,0,3,5,1,1,1,2,22.0,24.4,2025-02-21
mobleev01,Evan Mobley,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,1486,9,11,1,1,2,2,2,6,4,3,1,2,1,23.0,24.2,2025-02-21
greenja05,Jalen Green,Team.HOUSTON_ROCKETS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,2355,12,24,5,11,6,9,0,5,4,2,0,4,0,18.0,24.1,2025-02-21
