slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
herroty01,Tyler Herro,Team.MIAMI_HEAT,Location.AWAY,Team.DETROIT_PISTONS,Outcome.LOSS,2539,14,27,10,17,2,2,0,5,8,4,0,1,3,3.0,35.6,2024-11-12
collijo01,John Collins,Team.UTAH_JAZZ,Location.HOME,Team.PHOENIX_SUNS,Outcome.LOSS,2063,12,19,3,6,2,2,4,6,4,3,1,2,1,1.0,29.2,2024-11-12
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,2092,14,27,5,12,4,5,0,6,9,1,2,4,2,24.0,29.0,2024-11-12
bookede01,Devin Booker,Team.PHOENIX_SUNS,Location.AWAY,Team.UTAH_JAZZ,Outcome.WIN,2058,11,20,5,9,4,6,1,1,4,2,2,0,0,2.0,27.8,2024-11-12
whitede01,Derrick White,Team.BOSTON_CELTICS,Location.HOME,Team.ATLANTA_HAWKS,Outcome.LOSS,2272,10,15,7,12,4,5,1,5,5,1,0,3,2,5.0,27.0,2024-11-12
wagnefr01,Franz Wagner,Team.ORLANDO_MAGIC,Location.HOME,Team.CHARLOTTE_HORNETS,Outcome.WIN,1918,14,25,2,9,2,3,1,7,5,3,0,2,2,19.0,26.2,2024-11-12
williro04,Robert Williams,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,1525,9,10,0,0,1,1,2,7,3,3,3,1,1,13.0,24.9,2024-11-12
ballla01,LaMelo Ball,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.ORLANDO_MAGIC,Outcome.LOSS,2107,13,27,6,14,3,3,1,5,7,0,0,3,3,-12.0,24.2,2024-11-12
georgpa01,Paul George,Team.PHILADELPHIA_76ERS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.LOSS,1927,10,19,7,11,2,2,1,9,3,3,1,4,3,-11.0,23.7,2024-11-12
brownja02,Jaylen Brown,Team.BOSTON_CELTICS,Location.HOME,Team.ATLANTA_HAWKS,Outcome.LOSS,2156,14,22,3,6,6,10,2,3,2,1,0,6,3,0.0,23.1,2024-11-12
daniedy01,Dyson Daniels,Team.ATLANTA_HAWKS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,2457,12,21,1,5,3,5,0,3,7,6,0,6,3,-4.0,21.9,2024-11-12
anunoog01,OG Anunoby,Team.NEW_YORK_KNICKS,Location.AWAY,Team.PHILADELPHIA_76ERS,Outcome.WIN,2440,11,16,2,4,0,0,0,6,2,1,1,0,1,18.0,21.7,2024-11-12
dickgr01,Gradey Dick,Team.TORONTO_RAPTORS,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.LOSS,2281,7,20,4,10,14,16,1,4,3,1,0,3,1,-2.0,21.6,2024-11-12
