slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
roziete01,Terry Rozier,Team.CHARLOTTE_HORNETS,Location.HOME,Team.CHICAGO_BULLS,Outcome.LOSS,2661,10,18,7,13,12,12,0,3,8,0,0,0,2,-9.0,36.1,2024-01-08
holmgch01,Chet Holmgren,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.WIN,1907,11,14,4,5,5,8,1,3,5,0,2,0,3,1.0,29.7,2024-01-08
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.WIN,2142,11,17,2,3,8,10,1,5,5,3,1,3,5,3.0,28.1,2024-01-08
vanvlfr01,Fred VanVleet,Team.HOUSTON_ROCKETS,Location.AWAY,Team.MIAMI_HEAT,Outcome.LOSS,2351,10,22,7,14,5,5,2,3,7,0,2,1,2,-3.0,27.4,2024-01-08
brownja02,Jaylen Brown,Team.BOSTON_CELTICS,Location.AWAY,Team.INDIANA_PACERS,Outcome.LOSS,2279,17,26,3,4,3,5,1,4,2,0,0,5,2,-1.0,25.3,2024-01-08
duranke01,Kevin Durant,Team.PHOENIX_SUNS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,2080,10,17,3,6,7,8,0,7,2,0,1,3,2,-14.0,22.1,2024-01-08
willija06,Jalen Williams,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.WIN,2030,9,13,1,1,2,2,1,6,10,2,0,4,3,22.0,21.8,2024-01-08
hardeja01,James Harden,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.PHOENIX_SUNS,Outcome.WIN,1776,6,8,3,4,4,4,0,7,10,0,0,3,1,25.0,21.5,2024-01-08
markkla01,Lauri Markkanen,Team.UTAH_JAZZ,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.WIN,1917,5,15,4,10,7,8,4,10,2,1,2,0,1,8.0,21.3,2024-01-08
zubaciv01,Ivica Zubac,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.PHOENIX_SUNS,Outcome.WIN,1660,8,9,0,0,3,6,2,6,3,1,1,0,3,14.0,20.5,2024-01-08
middlkh01,Khris Middleton,Team.MILWAUKEE_BUCKS,Location.HOME,Team.UTAH_JAZZ,Outcome.LOSS,2013,7,16,3,6,6,6,0,3,8,2,1,3,1,-8.0,20.4,2024-01-08
whiteco01,Coby White,Team.CHICAGO_BULLS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.WIN,2515,10,19,3,7,4,5,0,6,5,0,0,1,3,11.0,20.4,2024-01-08
drumman01,Andre Drummond,Team.CHICAGO_BULLS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.WIN,1351,9,12,0,0,3,3,5,10,0,0,0,2,1,16.0,20.3,2024-01-08
jonesty01,Tyus Jones,Team.WASHINGTON_WIZARDS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,1856,7,10,3,5,1,2,0,0,9,3,0,2,1,0.0,20.3,2024-01-08
herroty01,Tyler Herro,Team.MIAMI_HEAT,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,2066,10,20,5,10,3,3,2,1,3,0,0,1,2,1.0,20.0,2024-01-08
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.HOME,Team.UTAH_JAZZ,Outcome.LOSS,2303,10,20,0,2,5,9,4,6,11,0,0,4,5,-14.0,19.7,2024-01-08
mathube01,Bennedict Mathurin,Team.INDIANA_PACERS,Location.HOME,Team.BOSTON_CELTICS,Outcome.WIN,1745,8,15,5,9,5,7,0,4,3,2,0,2,4,-2.0,19.6,2024-01-08
clarkjo01,Jordan Clarkson,Team.UTAH_JAZZ,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.WIN,1867,7,14,2,3,5,5,1,3,6,0,1,1,0,13.0,19.5,2024-01-08
porzikr01,Kristaps Porziņģis,Team.BOSTON_CELTICS,Location.AWAY,Team.INDIANA_PACERS,Outcome.LOSS,2254,6,13,1,4,6,7,2,3,7,0,3,1,2,1.0,19.4,2024-01-08
adebaba01,Bam Adebayo,Team.MIAMI_HEAT,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,1898,9,12,0,0,4,7,1,11,3,1,0,3,4,12.0,18.5,2024-01-08
vucevni01,Nikola Vučević,Team.CHICAGO_BULLS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.WIN,1829,10,18,1,3,0,0,3,7,4,1,1,1,4,-9.0,18.5,2024-01-08
sengual01,Alperen Şengün,Team.HOUSTON_ROCKETS,Location.AWAY,Team.MIAMI_HEAT,Outcome.LOSS,1968,9,15,1,2,3,4,3,7,2,3,0,3,6,-10.0,17.9,2024-01-08
bridgmi02,Miles Bridges,Team.CHARLOTTE_HORNETS,Location.HOME,Team.CHICAGO_BULLS,Outcome.LOSS,2407,9,18,4,8,2,3,2,6,5,1,2,5,3,-2.0,17.5,2024-01-08
georgpa01,Paul George,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.PHOENIX_SUNS,Outcome.WIN,1880,10,19,4,9,1,2,1,6,0,1,0,1,2,21.0,17.0,2024-01-08
holidjr01,Jrue Holiday,Team.BOSTON_CELTICS,Location.AWAY,Team.INDIANA_PACERS,Outcome.LOSS,2278,9,16,3,6,0,0,1,5,6,1,0,3,2,0.0,17.0,2024-01-08
derozde01,DeMar DeRozan,Team.CHICAGO_BULLS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.WIN,2629,7,16,1,3,3,4,0,7,7,3,1,3,0,14.0,16.9,2024-01-08
loveke01,Kevin Love,Team.MIAMI_HEAT,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,1391,4,7,1,3,6,7,3,4,4,1,0,1,2,5.0,16.6,2024-01-08
kuzmaky01,Kyle Kuzma,Team.WASHINGTON_WIZARDS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2231,10,24,0,5,2,2,4,11,5,0,0,2,1,1.0,16.4,2024-01-08
sextoco01,Collin Sexton,Team.UTAH_JAZZ,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.WIN,1093,8,13,3,6,0,0,0,0,3,1,0,0,0,1.0,16.2,2024-01-08
dunnkr01,Kris Dunn,Team.UTAH_JAZZ,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.WIN,1453,2,2,1,1,0,0,1,3,13,1,2,1,1,11.0,16.1,2024-01-08
pritcpa01,Payton Pritchard,Team.BOSTON_CELTICS,Location.AWAY,Team.INDIANA_PACERS,Outcome.LOSS,1407,5,6,4,5,0,0,4,3,3,0,0,1,2,-2.0,15.8,2024-01-08
poolejo01,Jordan Poole,Team.WASHINGTON_WIZARDS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,1759,8,17,4,8,4,5,0,0,5,0,0,1,5,3.0,15.4,2024-01-08
beaslma01,Malik Beasley,Team.MILWAUKEE_BUCKS,Location.HOME,Team.UTAH_JAZZ,Outcome.LOSS,1460,6,12,5,8,0,0,1,3,2,1,1,0,1,-12.0,15.3,2024-01-08
georgke01,Keyonte George,Team.UTAH_JAZZ,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.WIN,1347,7,13,4,9,1,1,0,6,4,0,0,2,0,7.0,15.3,2024-01-08
nesmiaa01,Aaron Nesmith,Team.INDIANA_PACERS,Location.HOME,Team.BOSTON_CELTICS,Outcome.WIN,1570,6,10,3,5,2,3,2,2,2,0,1,0,2,1.0,15.3,2024-01-08
leonaka01,Kawhi Leonard,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.PHOENIX_SUNS,Outcome.WIN,1947,8,15,1,3,0,0,0,3,2,5,1,3,1,11.0,14.3,2024-01-08
