slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
murrade01,Dejounte Murray,Team.ATLANTA_HAWKS,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,2392,9,19,4,9,12,15,0,6,7,2,1,1,0,8.0,31.5,2024-02-10
doncilu01,Luka Dončić,Team.DALLAS_MAVERICKS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,1878,9,14,4,8,10,13,0,8,9,0,0,3,3,18.0,29.1,2024-02-10
brunsja01,Jalen Brunson,Team.NEW_YORK_KNICKS,Location.HOME,Team.INDIANA_PACERS,Outcome.LOSS,2248,14,25,1,5,10,10,0,3,4,1,0,2,2,-7.0,29.0,2024-02-10
barnesc01,Scottie Barnes,Team.TORONTO_RAPTORS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,2110,9,15,1,3,5,6,2,8,10,1,1,1,3,1.0,27.0,2024-02-10
vucevni01,Nikola Vučević,Team.CHICAGO_BULLS,Location.AWAY,Team.ORLANDO_MAGIC,Outcome.LOSS,2597,12,25,1,7,1,2,9,8,4,3,1,0,3,1.0,26.9,2024-02-10
wagnefr01,Franz Wagner,Team.ORLANDO_MAGIC,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,2611,12,22,5,12,7,10,1,2,5,0,0,1,3,3.0,26.8,2024-02-10
georgpa01,Paul George,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,2171,14,24,4,13,1,1,0,5,3,3,0,1,3,2.0,26.2,2024-02-10
bookede01,Devin Booker,Team.PHOENIX_SUNS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2288,11,21,2,8,8,9,1,3,6,1,1,2,3,-3.0,25.6,2024-02-10
bridgmi02,Miles Bridges,Team.CHARLOTTE_HORNETS,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2328,11,13,2,2,1,2,1,5,5,2,1,3,0,7.0,25.3,2024-02-10
jonesty01,Tyus Jones,Team.WASHINGTON_WIZARDS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.LOSS,1858,9,14,6,9,1,1,0,3,9,1,0,1,2,-5.0,25.2,2024-02-10
halibty01,Tyrese Haliburton,Team.INDIANA_PACERS,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.WIN,1817,7,14,4,9,4,5,0,3,12,0,1,1,0,11.0,23.6,2024-02-10
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PHOENIX_SUNS,Outcome.WIN,2032,10,22,9,16,1,2,1,8,6,1,0,3,0,10.0,23.5,2024-02-10
murphtr02,Trey Murphy III,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1773,7,10,5,8,5,6,1,4,0,1,2,0,1,4.0,23.3,2024-02-10
irvinky01,Kyrie Irving,Team.DALLAS_MAVERICKS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,1989,11,19,2,7,1,2,1,5,8,1,0,1,2,32.0,22.7,2024-02-10
turnemy01,Myles Turner,Team.INDIANA_PACERS,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.WIN,1843,9,9,2,2,3,4,0,8,4,1,0,2,4,5.0,22.5,2024-02-10
