slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
sabondo01,Domantas Sabonis,Team.SACRAMENTO_KINGS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2278,16,21,1,1,4,4,5,5,13,3,0,5,3,28.0,39.6,2024-01-09
davisan02,Anthony Davis,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2389,13,17,2,2,13,14,1,10,6,0,1,3,4,0.0,37.9,2024-01-09
murrake02,Keegan Murray,Team.SACRAMENTO_KINGS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2080,13,17,5,9,1,1,0,5,2,1,2,1,2,32.0,28.8,2024-01-09
irvinky01,Kyrie Irving,Team.DALLAS_MAVERICKS,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,2405,11,25,2,7,9,10,4,4,4,4,1,3,3,-2.0,26.8,2024-01-09
townska01,Karl-Anthony Towns,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.ORLANDO_MAGIC,Outcome.WIN,2025,11,19,5,5,1,1,1,5,5,3,0,2,2,28.0,25.0,2024-01-09
doncilu01,Luka Dončić,Team.DALLAS_MAVERICKS,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,2154,9,21,2,8,11,15,0,6,6,3,0,3,1,-14.0,23.9,2024-01-09
bogdabo02,Bojan Bogdanović,Team.DETROIT_PISTONS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.LOSS,1955,10,14,4,7,2,3,1,4,2,3,0,3,1,-19.0,22.7,2024-01-09
barrerj01,RJ Barrett,Team.TORONTO_RAPTORS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,2128,10,13,1,3,2,3,1,9,5,2,0,3,4,10.0,21.8,2024-01-09
goberru01,Rudy Gobert,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.ORLANDO_MAGIC,Outcome.WIN,2014,8,10,0,0,5,6,1,11,1,1,3,2,3,13.0,21.4,2024-01-09
jamesle01,LeBron James,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2113,8,17,2,5,4,6,0,5,12,1,1,3,0,0.0,21.1,2024-01-09
wagnemo01,Moritz Wagner,Team.ORLANDO_MAGIC,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1887,6,9,1,4,8,11,3,5,2,2,0,1,3,-13.0,20.7,2024-01-09
banede01,Desmond Bane,Team.MEMPHIS_GRIZZLIES,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.WIN,2357,11,27,2,9,8,9,2,7,4,0,0,2,3,17.0,20.2,2024-01-09
anunoog01,OG Anunoby,Team.NEW_YORK_KNICKS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1765,9,12,4,6,1,2,2,2,0,1,1,1,3,26.0,19.3,2024-01-09
siakapa01,Pascal Siakam,Team.TORONTO_RAPTORS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,1924,10,17,3,5,2,3,0,4,3,0,1,1,2,-4.0,18.9,2024-01-09
barnesc01,Scottie Barnes,Team.TORONTO_RAPTORS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,2410,11,20,3,7,1,2,1,2,6,0,2,2,6,0.0,18.5,2024-01-09
smartma01,Marcus Smart,Team.MEMPHIS_GRIZZLIES,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.WIN,1268,9,16,4,8,1,1,0,4,1,2,0,1,0,16.0,18.3,2024-01-09
monkma01,Malik Monk,Team.SACRAMENTO_KINGS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,1683,9,15,2,6,0,0,0,2,9,1,2,3,5,18.0,17.4,2024-01-09
