slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
derozde01,DeMar DeRozan,Team.CHICAGO_BULLS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2141,14,22,4,6,7,8,0,4,7,3,0,1,0,15.0,36.9,2024-04-11
vanvlfr01,Fred VanVleet,Team.HOUSTON_ROCKETS,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,2405,12,30,9,13,9,10,3,4,7,2,1,2,3,12.0,33.1,2024-04-11
mccolcj01,CJ McCollum,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,2400,11,18,9,12,0,0,1,3,7,2,0,0,0,-11.0,31.3,2024-04-11
brunsja01,Jalen Brunson,Team.NEW_YORK_KNICKS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,1802,15,23,6,11,3,5,0,2,4,0,0,2,2,28.0,28.7,2024-04-11
willizi01,Zion Williamson,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,1855,13,21,0,1,5,5,1,3,6,3,1,4,0,16.0,27.0,2024-04-11
foxde01,De'Aaron Fox,Team.SACRAMENTO_KINGS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,2445,11,18,3,7,8,10,0,5,8,2,0,6,3,3.0,25.9,2024-04-11
vucevni01,Nikola Vučević,Team.CHICAGO_BULLS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2239,12,21,2,6,1,2,2,9,4,2,1,0,3,26.0,25.1,2024-04-11
murphtr02,Trey Murphy III,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,2693,7,14,6,12,7,8,0,5,4,0,0,1,1,15.0,22.5,2024-04-11
aytonde01,Deandre Ayton,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2027,12,24,0,1,1,1,1,10,1,3,1,1,0,-8.0,20.1,2024-04-11
barneha02,Harrison Barnes,Team.SACRAMENTO_KINGS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,1950,9,15,2,6,2,2,1,4,4,1,0,0,2,-18.0,20.0,2024-04-11
