slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,2157,13,20,0,4,11,12,2,4,7,3,1,0,2,14.0,38.2,2024-01-13
russeda01,D'Angelo Russell,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,2447,15,26,6,11,3,3,0,3,8,1,2,3,3,-2.0,31.5,2024-01-13
markkla01,Lauri Markkanen,Team.UTAH_JAZZ,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1995,8,16,3,6,10,11,2,7,5,2,1,0,0,16.0,30.3,2024-01-13
jonestr01,Tre Jones,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.CHICAGO_BULLS,Outcome.LOSS,1946,10,13,4,6,6,6,1,8,4,0,0,1,2,-14.0,29.0,2024-01-13
hawkijo01,Jordan Hawkins,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.WIN,2194,11,19,6,12,6,8,3,2,4,2,0,3,3,10.0,27.6,2024-01-13
brownja02,Jaylen Brown,Team.BOSTON_CELTICS,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,1707,11,15,4,6,6,10,1,5,2,2,2,3,5,19.0,26.3,2024-01-13
vucevni01,Nikola Vučević,Team.CHICAGO_BULLS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.WIN,1869,10,17,2,5,2,3,3,13,5,0,3,1,2,13.0,25.5,2024-01-13
middlkh01,Khris Middleton,Team.MILWAUKEE_BUCKS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,1971,10,13,3,5,1,2,1,2,10,1,1,3,2,-2.0,24.7,2024-01-13
lillada01,Damian Lillard,Team.MILWAUKEE_BUCKS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,2257,9,19,2,5,7,7,0,6,7,2,0,1,1,21.0,24.6,2024-01-13
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,2199,13,22,1,3,6,8,3,6,5,0,0,4,3,1.0,24.2,2024-01-13
