slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
vucevni01,Nikola Vučević,Team.CHICAGO_BULLS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,1937,9,14,4,5,2,2,6,8,8,0,0,0,0,18.0,30.0,2025-03-20
mathube01,Bennedict Mathurin,Team.INDIANA_PACERS,Location.HOME,Team.BROOKLYN_NETS,Outcome.WIN,2358,10,17,2,4,6,7,5,11,3,2,0,3,0,17.0,27.6,2025-03-20
huertke01,Kevin Huerter,Team.CHICAGO_BULLS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,2241,10,16,5,9,0,0,1,4,7,4,1,1,2,16.0,27.5,2025-03-20
whiteco01,Coby White,Team.CHICAGO_BULLS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,2293,10,18,2,5,13,14,1,0,5,0,0,2,4,10.0,26.6,2025-03-20
monkma01,Malik Monk,Team.SACRAMENTO_KINGS,Location.HOME,Team.CHICAGO_BULLS,Outcome.LOSS,2064,12,19,5,10,5,5,1,0,5,0,0,2,4,-5.0,26.1,2025-03-20
barnesc01,Scottie Barnes,Team.TORONTO_RAPTORS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2011,11,16,1,2,6,8,0,10,6,0,1,3,1,-1.0,25.9,2025-03-20
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1743,9,15,0,0,10,12,1,6,4,2,1,3,1,19.0,24.9,2025-03-20
turnemy01,Myles Turner,Team.INDIANA_PACERS,Location.HOME,Team.BROOKLYN_NETS,Outcome.WIN,2373,8,11,2,5,5,5,2,8,1,1,5,3,2,13.0,23.7,2025-03-20
trentga02,Gary Trent Jr.,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1622,6,10,6,10,5,5,0,3,3,2,0,0,1,28.0,23.0,2025-03-20
willima07,Mark Williams,Team.CHARLOTTE_HORNETS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,1870,8,14,0,0,3,3,7,7,4,0,3,1,1,5.0,22.9,2025-03-20
lylestr01,Trey Lyles,Team.SACRAMENTO_KINGS,Location.HOME,Team.CHICAGO_BULLS,Outcome.LOSS,1452,6,11,4,7,6,6,2,4,3,0,1,1,1,-6.0,20.7,2025-03-20
anunoog01,OG Anunoby,Team.NEW_YORK_KNICKS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.LOSS,2251,7,19,3,12,8,8,2,4,2,3,1,1,4,-17.0,19.6,2025-03-20
butleji01,Jimmy Butler,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2151,4,15,1,2,7,10,3,8,12,2,2,2,2,5.0,19.4,2025-03-20
ballla01,LaMelo Ball,Team.CHARLOTTE_HORNETS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.WIN,1651,10,23,5,10,0,0,2,3,8,0,0,2,4,2.0,17.2,2025-03-20
kuzmaky01,Kyle Kuzma,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.WIN,1879,9,16,0,4,2,5,2,3,5,0,0,0,0,23.0,17.0,2025-03-20
townska01,Karl-Anthony Towns,Team.NEW_YORK_KNICKS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.LOSS,2149,10,21,2,4,2,2,1,9,3,0,0,1,2,-15.0,17.0,2025-03-20
bridgmi01,Mikal Bridges,Team.NEW_YORK_KNICKS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.LOSS,1961,5,11,0,4,6,8,0,4,6,3,0,1,0,-9.0,16.9,2025-03-20
poeltja01,Jakob Poeltl,Team.TORONTO_RAPTORS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1658,8,9,0,0,2,2,1,7,2,0,2,2,4,3.0,16.9,2025-03-20
greendr01,Draymond Green,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,1887,7,18,5,14,2,2,4,3,5,4,0,4,4,-5.0,16.8,2025-03-20
willizi02,Ziaire Williams,Team.BROOKLYN_NETS,Location.AWAY,Team.INDIANA_PACERS,Outcome.LOSS,2079,8,15,6,12,0,1,0,5,1,2,0,2,1,-5.0,16.1,2025-03-20
quickim01,Immanuel Quickley,Team.TORONTO_RAPTORS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1851,8,17,3,7,2,3,1,3,8,3,0,5,3,-2.0,15.9,2025-03-20
