slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
duranke01,Kevin Durant,Team.PHOENIX_SUNS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2075,14,27,1,3,12,12,0,4,5,1,2,3,1,7.0,31.4,2023-11-05
barnesc01,Scottie Barnes,Team.TORONTO_RAPTORS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.WIN,2531,9,20,5,10,7,11,4,7,6,3,3,3,1,14.0,28.8,2023-11-05
ballla01,LaMelo Ball,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.LOSS,2344,11,23,5,10,3,3,2,8,13,1,1,3,6,1.0,27.5,2023-11-05
mitchdo01,Donovan Mitchell,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,2042,11,19,5,11,4,4,1,1,7,2,0,4,3,6.0,24.8,2023-11-05
johnske04,Keldon Johnson,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.LOSS,2261,11,18,2,4,2,2,1,5,3,2,0,0,1,-17.0,23.7,2023-11-05
gordoer01,Eric Gordon,Team.PHOENIX_SUNS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,1864,8,14,3,5,2,2,2,3,8,1,0,1,0,23.0,22.3,2023-11-05
jacksja02,Jaren Jackson Jr.,Team.MEMPHIS_GRIZZLIES,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,2212,11,18,1,4,4,6,3,4,2,1,1,2,1,11.0,22.0,2023-11-05
greendr01,Draymond Green,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,1762,5,11,2,3,6,6,0,3,8,3,1,1,0,-6.0,21.5,2023-11-05
schrode01,Dennis Schröder,Team.TORONTO_RAPTORS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.WIN,2283,10,19,1,8,3,4,2,1,6,2,1,2,1,1.0,20.5,2023-11-05
anunoog01,OG Anunoby,Team.TORONTO_RAPTORS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.WIN,2282,8,16,7,13,1,4,2,4,4,2,0,1,3,8.0,20.0,2023-11-05
wembavi01,Victor Wembanyama,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.LOSS,2274,7,16,2,7,4,5,2,7,4,1,5,2,1,-16.0,19.6,2023-11-05
thompau01,Ausar Thompson,Team.DETROIT_PISTONS,Location.HOME,Team.PHOENIX_SUNS,Outcome.LOSS,2287,6,14,2,3,0,0,5,4,4,4,4,1,3,-13.0,18.7,2023-11-05
