slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
mitchdo01,Donovan Mitchell,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,2121,14,25,6,13,11,12,2,4,8,2,1,2,2,22.0,40.8,2024-01-31
bridgmi02,Miles Bridges,Team.CHARLOTTE_HORNETS,Location.HOME,Team.CHICAGO_BULLS,Outcome.LOSS,2431,11,20,6,13,2,2,2,13,5,1,3,0,1,3.0,31.9,2024-01-31
duranke01,Kevin Durant,Team.PHOENIX_SUNS,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,2255,10,16,2,6,11,12,0,5,8,0,2,3,1,20.0,30.5,2024-01-31
leonaka01,Kawhi Leonard,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.WIN,1794,14,25,1,4,2,2,4,5,4,4,1,0,1,23.0,30.5,2024-01-31
butleji01,Jimmy Butler,Team.MIAMI_HEAT,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,2074,10,14,2,3,9,12,1,6,6,1,0,1,2,-1.0,29.9,2024-01-31
whiteco01,Coby White,Team.CHICAGO_BULLS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.WIN,2583,12,22,4,10,7,9,1,6,9,0,0,3,0,12.0,29.4,2024-01-31
murrake02,Keegan Murray,Team.SACRAMENTO_KINGS,Location.AWAY,Team.MIAMI_HEAT,Outcome.LOSS,2309,12,18,7,11,2,2,1,4,2,1,2,0,5,4.0,28.9,2024-01-31
sabondo01,Domantas Sabonis,Team.SACRAMENTO_KINGS,Location.AWAY,Team.MIAMI_HEAT,Outcome.LOSS,2279,7,14,1,1,4,6,4,13,13,1,1,1,0,0.0,27.7,2024-01-31
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.DENVER_NUGGETS,Outcome.WIN,2133,10,22,2,3,12,13,1,6,5,1,2,2,4,-1.0,27.0,2024-01-31
hardeja01,James Harden,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.WIN,1953,7,15,5,10,6,6,1,8,5,2,4,2,2,20.0,25.9,2024-01-31
nurkiju01,Jusuf Nurkić,Team.PHOENIX_SUNS,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,1787,11,15,0,0,6,9,5,6,6,1,2,6,2,16.0,25.8,2024-01-31
greenja05,Jalen Green,Team.HOUSTON_ROCKETS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,2294,11,20,5,12,4,4,0,4,4,3,2,3,3,-7.0,25.6,2024-01-31
townska01,Karl-Anthony Towns,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,1870,11,15,4,6,3,5,2,7,4,1,0,3,2,14.0,25.6,2024-01-31
banchpa01,Paolo Banchero,Team.ORLANDO_MAGIC,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.WIN,2139,9,18,2,4,5,7,2,7,7,2,0,1,1,13.0,24.2,2024-01-31
holmgch01,Chet Holmgren,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.DENVER_NUGGETS,Outcome.WIN,1927,7,13,3,4,1,2,5,8,3,0,5,2,0,13.0,20.8,2024-01-31
richajo01,Josh Richardson,Team.MIAMI_HEAT,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,1637,9,15,6,10,0,0,0,5,3,0,1,0,2,5.0,20.6,2024-01-31
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,2266,10,16,0,2,7,11,3,5,4,3,1,6,5,6.0,20.3,2024-01-31
middlkh01,Khris Middleton,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,2044,9,13,3,5,0,0,0,2,8,0,1,1,3,7.0,20.2,2024-01-31
valanjo01,Jonas Valančiūnas,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.HOUSTON_ROCKETS,Outcome.WIN,1951,10,15,0,1,5,9,4,10,2,0,1,3,5,13.0,19.8,2024-01-31
thomaca02,Cam Thomas,Team.BROOKLYN_NETS,Location.HOME,Team.PHOENIX_SUNS,Outcome.LOSS,1992,11,19,1,4,2,2,2,0,4,2,0,2,2,-11.0,19.5,2024-01-31
gallida01,Danilo Gallinari,Team.DETROIT_PISTONS,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,1356,6,8,4,4,4,5,0,3,2,1,0,0,1,13.0,19.3,2024-01-31
wembavi01,Victor Wembanyama,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.LOSS,1811,7,15,2,5,5,5,0,8,3,2,5,3,3,-8.0,19.1,2024-01-31
bookede01,Devin Booker,Team.PHOENIX_SUNS,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,2163,9,17,4,6,0,0,0,3,8,2,1,2,5,19.0,18.9,2024-01-31
vassede01,Devin Vassell,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.LOSS,2222,8,18,3,8,7,10,0,4,4,0,1,1,1,-16.0,18.7,2024-01-31
vucevni01,Nikola Vučević,Team.CHICAGO_BULLS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.WIN,1967,10,22,1,4,1,2,3,9,3,0,2,0,0,3.0,18.5,2024-01-31
washipj01,P.J. Washington,Team.CHARLOTTE_HORNETS,Location.HOME,Team.CHICAGO_BULLS,Outcome.LOSS,2154,10,17,3,9,3,4,3,5,1,0,1,3,3,2.0,18.5,2024-01-31
gordoaa01,Aaron Gordon,Team.DENVER_NUGGETS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2354,7,16,1,3,1,6,4,9,7,1,4,1,2,7.0,18.0,2024-01-31
dosunay01,Ayo Dosunmu,Team.CHICAGO_BULLS,Location.AWAY,Team.CHARLOTTE_HORNETS,Outcome.WIN,2331,7,10,2,5,0,0,0,1,6,3,1,1,3,18.0,17.8,2024-01-31
lopezbr01,Brook Lopez,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,2171,7,14,4,10,1,1,0,4,3,1,2,0,1,1.0,17.3,2024-01-31
cunnica01,Cade Cunningham,Team.DETROIT_PISTONS,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,1844,8,16,2,4,1,2,0,2,7,2,1,0,4,-22.0,17.2,2024-01-31
walkelo01,Lonnie Walker IV,Team.BROOKLYN_NETS,Location.HOME,Team.PHOENIX_SUNS,Outcome.LOSS,1835,7,16,3,8,2,2,1,2,7,4,0,2,4,-14.0,17.2,2024-01-31
aytonde01,Deandre Ayton,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,2100,10,17,0,0,0,0,3,8,1,1,1,1,3,-10.0,16.8,2024-01-31
gordoer01,Eric Gordon,Team.PHOENIX_SUNS,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,1921,6,10,5,9,0,0,0,2,4,1,0,0,1,17.0,16.4,2024-01-31
lillada01,Damian Lillard,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,2393,9,23,3,13,4,4,2,4,7,1,0,4,2,6.0,16.2,2024-01-31
garlada01,Darius Garland,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,1229,7,12,2,6,3,3,0,0,3,2,0,1,1,-16.0,16.1,2024-01-31
okorois01,Isaac Okoro,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,1787,6,8,0,0,2,2,2,1,0,4,0,0,1,18.0,16.1,2024-01-31
simonan01,Anfernee Simons,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,2309,10,19,4,9,0,0,0,3,5,0,0,3,0,-11.0,16.1,2024-01-31
