slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
wembavi01,Victor Wembanyama,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,1884,11,17,3,4,6,7,2,10,6,1,6,3,2,19.0,33.1,2024-03-03
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.PHOENIX_SUNS,Outcome.WIN,2298,15,27,0,5,5,7,0,8,9,3,3,1,4,13.0,32.5,2024-03-03
doncilu01,Luka Dončić,Team.DALLAS_MAVERICKS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.LOSS,2417,14,27,4,10,6,6,2,9,10,1,0,7,2,9.0,29.0,2024-03-03
mccontj01,T.J. McConnell,Team.INDIANA_PACERS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,1610,13,15,0,0,0,0,1,1,5,3,0,1,0,-1.0,27.2,2024-03-03
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,1512,9,13,4,5,5,5,0,3,5,1,1,0,2,40.0,26.8,2024-03-03
divindo01,Donte DiVincenzo,Team.NEW_YORK_KNICKS,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.WIN,2358,11,22,6,14,0,0,1,5,4,3,1,1,2,9.0,23.9,2024-03-03
banchpa01,Paolo Banchero,Team.ORLANDO_MAGIC,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,1924,10,16,1,4,8,9,2,6,5,0,0,4,1,30.0,23.7,2024-03-03
bealbr01,Bradley Beal,Team.PHOENIX_SUNS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2018,10,14,3,5,8,10,2,2,6,0,1,7,2,5.0,23.5,2024-03-03
cartewe01,Wendell Carter Jr.,Team.ORLANDO_MAGIC,Location.HOME,Team.DETROIT_PISTONS,Outcome.WIN,1870,5,7,2,3,7,7,2,6,3,1,2,0,1,31.0,23.4,2024-03-03
brownja02,Jaylen Brown,Team.BOSTON_CELTICS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,1343,11,19,5,10,2,2,1,2,3,1,0,1,2,35.0,22.7,2024-03-03
leonaka01,Kawhi Leonard,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,2299,12,26,1,4,7,8,1,4,1,2,1,2,1,-11.0,21.1,2024-03-03
quickim01,Immanuel Quickley,Team.TORONTO_RAPTORS,Location.HOME,Team.CHARLOTTE_HORNETS,Outcome.WIN,2133,6,14,2,7,8,8,0,7,11,0,0,3,2,8.0,20.6,2024-03-03
hartjo01,Josh Hart,Team.NEW_YORK_KNICKS,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.WIN,2722,5,12,3,6,0,0,1,18,10,2,2,2,2,16.0,20.3,2024-03-03
jonesde02,Derrick Jones Jr.,Team.DALLAS_MAVERICKS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.LOSS,1566,7,9,5,5,2,4,3,4,0,0,1,0,1,2.0,20.3,2024-03-03
millebr02,Brandon Miller,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.LOSS,2198,11,21,4,8,0,1,3,7,3,0,1,2,1,-12.0,19.9,2024-03-03
harrito02,Tobias Harris,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.DALLAS_MAVERICKS,Outcome.WIN,2112,11,19,3,6,3,4,1,4,1,1,0,1,4,10.0,19.7,2024-03-03
irvinky01,Kyrie Irving,Team.DALLAS_MAVERICKS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.LOSS,2297,10,20,5,9,3,3,0,5,4,1,0,4,0,-8.0,19.3,2024-03-03
edwaran01,Anthony Edwards,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,2203,9,20,3,10,6,6,0,5,2,3,0,3,1,10.0,19.1,2024-03-03
whitede01,Derrick White,Team.BOSTON_CELTICS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,1181,5,6,4,5,0,0,0,3,8,1,0,0,1,36.0,18.9,2024-03-03
pritcpa01,Payton Pritchard,Team.BOSTON_CELTICS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,1641,8,12,3,5,0,0,0,6,6,2,0,2,3,17.0,18.6,2024-03-03
allenja01,Jarrett Allen,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.LOSS,2131,8,13,0,0,2,4,1,6,6,1,1,1,1,-5.0,18.3,2024-03-03
barrerj01,RJ Barrett,Team.TORONTO_RAPTORS,Location.HOME,Team.CHARLOTTE_HORNETS,Outcome.WIN,2097,10,15,3,6,0,2,1,7,5,2,0,5,2,4.0,18.2,2024-03-03
