slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
embiijo01,Joel Embiid,Team.PHILADELPHIA_76ERS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,1765,12,22,2,4,9,12,5,10,7,2,6,3,3,28.0,36.6,2023-10-29
davisan02,Anthony Davis,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.LOSS,2501,11,22,1,2,7,8,6,10,2,2,3,0,5,-10.0,29.3,2023-10-29
foxde01,De'Aaron Fox,Team.SACRAMENTO_KINGS,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.WIN,2055,14,24,3,8,6,8,1,3,8,1,1,3,5,15.0,28.9,2023-10-29
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.HOME,Team.ATLANTA_HAWKS,Outcome.LOSS,1768,9,14,0,1,8,10,5,6,3,1,2,3,2,-11.0,25.0,2023-10-29
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,1792,12,16,1,2,3,3,2,12,5,0,0,4,3,21.0,24.9,2023-10-29
maxeyty01,Tyrese Maxey,Team.PHILADELPHIA_76ERS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,2083,6,14,4,8,10,10,1,9,4,0,0,2,1,19.0,22.4,2023-10-29
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.HOUSTON_ROCKETS,Outcome.WIN,1885,6,16,6,14,6,6,1,6,6,0,1,1,1,-2.0,21.2,2023-10-29
harrito02,Tobias Harris,Team.PHILADELPHIA_76ERS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,2264,8,11,2,4,6,7,0,5,2,1,2,3,3,31.0,20.2,2023-10-29
georgpa01,Paul George,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.WIN,1668,8,17,2,7,1,1,1,3,5,5,0,1,1,24.0,19.0,2023-10-29
sengual01,Alperen Şengün,Team.HOUSTON_ROCKETS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1991,7,15,1,2,4,4,4,1,7,0,0,0,3,-10.0,18.1,2023-10-29
