slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
halibty01,Tyrese Haliburton,Team.INDIANA_PACERS,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.WIN,2192,11,19,3,9,2,2,3,4,15,0,1,0,1,0.0,32.2,2023-12-07
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.HOME,Team.INDIANA_PACERS,Outcome.LOSS,2430,13,19,0,1,11,13,1,9,2,0,2,1,3,-5.0,32.1,2023-12-07
jamesle01,LeBron James,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1352,9,12,4,4,8,8,0,5,8,0,0,0,1,36.0,31.9,2023-12-07
turnemy01,Myles Turner,Team.INDIANA_PACERS,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.WIN,1910,9,18,2,8,6,8,1,9,2,1,3,0,2,-5.0,23.3,2023-12-07
davisan02,Anthony Davis,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1873,5,10,0,2,6,8,5,10,5,2,2,2,1,35.0,21.2,2023-12-07
reaveau01,Austin Reaves,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1392,5,9,3,6,4,4,0,5,7,1,0,2,0,21.0,18.1,2023-12-07
lillada01,Damian Lillard,Team.MILWAUKEE_BUCKS,Location.HOME,Team.INDIANA_PACERS,Outcome.LOSS,2496,7,20,4,9,6,6,0,7,7,1,1,3,2,6.0,17.7,2023-12-07
middlkh01,Khris Middleton,Team.MILWAUKEE_BUCKS,Location.HOME,Team.INDIANA_PACERS,Outcome.LOSS,1776,7,13,4,5,2,2,1,6,4,2,0,4,2,-3.0,16.2,2023-12-07
toppiob01,Obi Toppin,Team.INDIANA_PACERS,Location.AWAY,Team.MILWAUKEE_BUCKS,Outcome.WIN,1276,6,8,1,3,1,2,3,3,2,0,0,0,3,-7.0,13.6,2023-12-07
princta02,Taurean Prince,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1397,5,9,5,8,0,0,0,3,1,1,0,0,3,23.0,12.1,2023-12-07
