slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,2435,19,37,4,12,4,5,5,11,9,0,3,3,4,5.0,37.9,2025-02-28
mitchdo01,Donovan Mitchell,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.WIN,2108,13,26,5,12,10,11,0,3,5,1,0,2,1,0.0,30.6,2025-02-28
siakapa01,Pascal Siakam,Team.INDIANA_PACERS,Location.AWAY,Team.MIAMI_HEAT,Outcome.LOSS,1947,13,21,8,11,2,4,1,5,2,2,0,1,3,-8.0,29.1,2025-02-28
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2050,6,12,0,3,11,12,0,17,15,1,2,7,2,33.0,26.8,2025-02-28
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.WIN,2065,12,23,3,7,4,4,0,3,5,2,0,1,0,23.0,25.1,2025-02-28
zubaciv01,Ivica Zubac,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,2274,13,15,0,0,1,2,6,10,0,0,1,3,4,9.0,24.6,2025-02-28
brownja02,Jaylen Brown,Team.BOSTON_CELTICS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,2035,13,24,4,6,7,10,4,1,2,0,0,3,4,10.0,24.1,2025-02-28
murraja01,Jamal Murray,Team.DENVER_NUGGETS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2097,10,22,5,9,6,7,1,2,4,2,1,2,1,23.0,23.6,2025-02-28
collijo01,John Collins,Team.UTAH_JAZZ,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,1618,12,18,3,6,2,3,3,9,1,0,1,3,3,11.0,22.8,2025-02-28
bolbo01,Bol Bol,Team.PHOENIX_SUNS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1568,9,12,5,8,2,2,1,2,2,0,2,1,2,4.0,22.5,2025-02-28
portemi01,Michael Porter Jr.,Team.DENVER_NUGGETS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2306,10,15,6,7,2,2,2,7,1,0,0,2,3,35.0,22.5,2025-02-28
reidna01,Naz Reid,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,2466,10,25,6,15,1,2,4,7,5,3,1,2,3,-5.0,22.0,2025-02-28
halibty01,Tyrese Haliburton,Team.INDIANA_PACERS,Location.AWAY,Team.MIAMI_HEAT,Outcome.LOSS,2160,8,15,3,5,0,0,0,2,10,4,0,1,1,3.0,21.9,2025-02-28
hawkijo01,Jordan Hawkins,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.PHOENIX_SUNS,Outcome.LOSS,1862,10,17,3,7,1,2,2,0,4,3,1,2,0,-4.0,21.6,2025-02-28
braunch01,Christian Braun,Team.DENVER_NUGGETS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.WIN,2111,10,14,2,3,1,1,1,5,2,0,1,0,0,30.0,21.5,2025-02-28
barnesc01,Scottie Barnes,Team.TORONTO_RAPTORS,Location.AWAY,Team.CHICAGO_BULLS,Outcome.LOSS,2151,10,19,2,3,2,2,3,5,6,1,1,2,2,0.0,21.4,2025-02-28
herroty01,Tyler Herro,Team.MIAMI_HEAT,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,2032,11,25,3,10,4,5,2,1,7,0,1,1,1,8.0,21.4,2025-02-28
jamesle01,LeBron James,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,2237,12,21,2,7,2,3,1,12,3,1,0,4,0,-1.0,21.1,2025-02-28
adebaba01,Bam Adebayo,Team.MIAMI_HEAT,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,1872,8,14,2,4,0,0,2,5,7,2,0,0,1,-2.0,20.8,2025-02-28
okongon01,Onyeka Okongwu,Team.ATLANTA_HAWKS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2072,9,12,1,2,4,4,2,11,2,0,1,3,4,-2.0,20.4,2025-02-28
missiyv01,Yves Missi,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.PHOENIX_SUNS,Outcome.LOSS,1553,11,14,0,0,2,3,3,2,1,0,1,2,0,-3.0,20.3,2025-02-28
youngtr01,Trae Young,Team.ATLANTA_HAWKS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,2115,5,14,2,5,7,7,0,3,12,3,0,3,1,-4.0,20.1,2025-02-28
turnemy01,Myles Turner,Team.INDIANA_PACERS,Location.AWAY,Team.MIAMI_HEAT,Outcome.LOSS,2117,7,12,5,9,3,4,0,3,3,2,0,1,0,1.0,20.0,2025-02-28
giddejo01,Josh Giddey,Team.CHICAGO_BULLS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2429,7,17,2,6,3,4,0,8,12,1,1,1,3,16.0,19.8,2025-02-28
sharpsh01,Shaedon Sharpe,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,2153,9,14,4,6,3,5,1,3,5,0,1,3,3,15.0,19.6,2025-02-28
colliza01,Zach Collins,Team.CHICAGO_BULLS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2403,5,10,0,4,5,6,5,8,5,1,1,1,2,28.0,18.9,2025-02-28
mcdanja02,Jaden McDaniels,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,2097,9,16,2,6,0,0,2,8,5,2,0,2,2,-14.0,18.9,2025-02-28
robindu01,Duncan Robinson,Team.MIAMI_HEAT,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,1716,8,10,4,6,0,0,0,2,5,1,0,2,1,0.0,18.9,2025-02-28
dunnkr01,Kris Dunn,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,1760,6,9,2,3,0,0,2,7,6,4,0,1,5,12.0,18.8,2025-02-28
bantoda01,Dalano Banton,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.BROOKLYN_NETS,Outcome.WIN,1473,8,11,3,4,4,5,1,7,0,1,0,3,1,11.0,18.5,2025-02-28
whiteco01,Coby White,Team.CHICAGO_BULLS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,2210,8,19,2,9,6,6,0,4,3,4,0,2,2,11.0,18.4,2025-02-28
doncilu01,Luka Dončić,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,2106,9,22,3,9,10,11,1,1,5,3,0,6,5,-13.0,18.3,2025-02-28
mcbrimi01,Miles McBride,Team.NEW_YORK_KNICKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,1688,7,11,3,5,0,0,2,2,3,2,0,0,0,9.0,18.2,2025-02-28
brunsja01,Jalen Brunson,Team.NEW_YORK_KNICKS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2176,10,23,2,6,1,1,1,6,6,3,1,3,1,-2.0,17.9,2025-02-28
duranke01,Kevin Durant,Team.PHOENIX_SUNS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,2115,7,10,2,2,1,1,1,1,6,3,0,2,3,22.0,17.8,2025-02-28
richani01,Nick Richards,Team.PHOENIX_SUNS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,1715,8,11,0,0,3,4,1,11,2,0,1,2,1,-4.0,17.8,2025-02-28
