slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
goberru01,Rudy Gobert,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.ATLANTA_HAWKS,Outcome.WIN,2203,10,10,0,0,5,8,4,15,0,1,5,1,2,13.0,30.8,2024-04-12
davisan02,Anthony Davis,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2569,11,22,1,6,13,17,4,10,5,1,2,4,2,2.0,30.3,2024-04-12
barrerj01,RJ Barrett,Team.TORONTO_RAPTORS,Location.AWAY,Team.MIAMI_HEAT,Outcome.LOSS,1956,13,18,1,4,8,10,1,10,3,0,0,3,3,-9.0,28.4,2024-04-12
pritcpa01,Payton Pritchard,Team.BOSTON_CELTICS,Location.HOME,Team.CHARLOTTE_HORNETS,Outcome.WIN,1852,14,22,3,8,0,0,0,3,11,1,0,2,2,15.0,28.0,2024-04-12
thomaca02,Cam Thomas,Team.BROOKLYN_NETS,Location.AWAY,Team.NEW_YORK_KNICKS,Outcome.LOSS,2202,15,26,4,9,7,7,0,1,6,0,0,4,4,-8.0,27.7,2024-04-12
jamesle01,LeBron James,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,Outcome.WIN,2454,13,20,3,7,8,11,2,7,5,2,0,8,1,-3.0,27.6,2024-04-12
allenja01,Jarrett Allen,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,2286,13,14,0,0,3,8,3,10,3,0,0,2,2,8.0,26.8,2024-04-12
laravja01,Jake LaRavia,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,2595,7,13,3,6,11,11,1,2,6,1,1,1,3,9.0,26.7,2024-04-12
mitchdo01,Donovan Mitchell,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,2253,12,27,4,10,5,5,2,2,5,4,0,1,2,12.0,26.6,2024-04-12
murraja01,Jamal Murray,Team.DENVER_NUGGETS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,1742,14,26,5,11,2,2,0,5,4,1,0,1,1,-4.0,26.3,2024-04-12
loftoke01,Kenneth Lofton Jr.,Team.UTAH_JAZZ,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,2123,10,16,0,5,7,7,4,5,8,1,0,3,5,1.0,25.7,2024-04-12
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,2313,9,13,1,2,3,3,2,5,12,2,1,3,5,-1.0,25.5,2024-04-12
sabondo01,Domantas Sabonis,Team.SACRAMENTO_KINGS,Location.HOME,Team.PHOENIX_SUNS,Outcome.LOSS,2543,9,18,2,3,5,6,4,8,9,2,0,2,5,7.0,25.1,2024-04-12
brunsja01,Jalen Brunson,Team.NEW_YORK_KNICKS,Location.HOME,Team.BROOKLYN_NETS,Outcome.WIN,2192,10,25,3,7,7,7,0,1,11,1,0,0,2,7.0,24.7,2024-04-12
embiijo01,Joel Embiid,Team.PHILADELPHIA_76ERS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,1921,10,23,4,7,8,9,0,13,7,0,1,4,2,22.0,24.2,2024-04-12
hendesc01,Scoot Henderson,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.LOSS,2016,10,23,6,7,4,5,2,3,7,1,1,1,3,-9.0,24.2,2024-04-12
carteje01,Jevon Carter,Team.CHICAGO_BULLS,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.WIN,2211,8,15,4,8,0,0,2,0,12,1,1,1,1,9.0,22.8,2024-04-12
holmgch01,Chet Holmgren,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,1500,9,13,1,4,3,3,3,6,3,1,3,2,2,10.0,22.8,2024-04-12
murphtr02,Trey Murphy III,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,2534,8,12,6,9,2,2,0,8,2,1,0,1,0,4.0,22.6,2024-04-12
greenja02,Javonte Green,Team.CHICAGO_BULLS,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.WIN,1546,10,15,3,7,1,1,2,5,0,2,0,0,2,4.0,21.6,2024-04-12
wembavi01,Victor Wembanyama,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.DENVER_NUGGETS,Outcome.WIN,2209,12,27,5,12,5,7,1,11,5,1,2,7,1,-11.0,21.6,2024-04-12
pippesc02,Scotty Pippen Jr.,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,1809,12,22,3,7,1,2,1,4,6,4,0,4,4,9.0,21.5,2024-04-12
jaqueja01,Jaime Jaquez Jr.,Team.MIAMI_HEAT,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,1937,7,15,2,4,4,4,0,4,9,2,1,0,5,26.0,20.5,2024-04-12
maxeyty01,Tyrese Maxey,Team.PHILADELPHIA_76ERS,Location.HOME,Team.ORLANDO_MAGIC,Outcome.WIN,2387,10,19,5,10,3,4,1,1,3,0,1,1,2,8.0,20.3,2024-04-12
quetane01,Neemias Queta,Team.BOSTON_CELTICS,Location.HOME,Team.CHARLOTTE_HORNETS,Outcome.WIN,1077,8,10,0,0,0,0,4,2,5,2,0,0,2,25.0,20.3,2024-04-12
goodwjo01,Jordan Goodwin,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,2250,7,23,4,9,5,6,8,9,3,4,0,2,4,-4.0,20.1,2024-04-12
avdijde01,Deni Avdija,Team.WASHINGTON_WIZARDS,Location.HOME,Team.CHICAGO_BULLS,Outcome.LOSS,2257,9,15,1,4,5,8,0,12,8,0,0,4,3,5.0,19.9,2024-04-12
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,1943,12,23,7,13,2,2,0,4,5,1,0,7,2,-8.0,19.6,2024-04-12
mccolcj01,CJ McCollum,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,2270,10,21,8,13,0,0,0,5,5,0,2,3,3,-5.0,19.5,2024-04-12
bealbr01,Bradley Beal,Team.PHOENIX_SUNS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.WIN,2034,9,13,1,3,1,1,2,7,4,2,1,3,3,8.0,19.3,2024-04-12
jacksgg01,GG Jackson II,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,2420,12,23,7,13,0,2,0,1,1,3,0,2,4,11.0,19.3,2024-04-12
thompam01,Amen Thompson,Team.HOUSTON_ROCKETS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,2116,6,12,0,1,5,6,6,9,6,0,0,2,1,15.0,19.3,2024-04-12
bantoda01,Dalano Banton,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.LOSS,2304,9,26,2,10,8,9,0,10,3,1,2,1,1,-9.0,19.1,2024-04-12
