game_id,game_date,home,away,home_pts,away_pts,winner
0022400061,2024-10-22,BOS,NYK,132,109,BOS
0022400062,2024-10-22,LAL,MIN,110,103,LAL
0022400063,2024-10-23,DET,IND,109,115,IND
0022400064,2024-10-23,ATL,BRK,120,116,ATL
0022400065,2024-10-23,MIA,ORL,97,116,ORL
0022400066,2024-10-23,PHI,MIL,109,124,MIL
0022400067,2024-10-23,TOR,CLE,106,136,CLE
0022400068,2024-10-23,HOU,CHO,105,110,CHO
0022400069,2024-10-23,NOP,CHI,123,111,NOP
0022400070,2024-10-23,UTA,MEM,124,126,MEM
0022400071,2024-10-23,LAC,PHO,113,116,PHO
0022400072,2024-10-23,POR,GSW,104,140,GSW
0022400073,2024-10-24,WAS,BOS,102,122,BOS
0022400074,2024-10-24,DAL,SAS,120,109,DAL
0022400075,2024-10-24,DEN,OKC,87,102,OKC
0022400076,2024-10-24,SAC,MIN,115,117,MIN
0022400077,2024-10-25,ORL,BRK,116,101,ORL
0022400078,2024-10-25,TOR,PHI,115,107,TOR
0022400079,2024-10-25,ATL,CHO,125,120,ATL
0022400080,2024-10-25,CLE,DET,113,101,CLE
0022400081,2024-10-25,NYK,IND,123,98,NYK
0022400082,2024-10-25,HOU,MEM,128,108,HOU
0022400083,2024-10-25,MIL,CHI,122,133,CHI
0022400084,2024-10-25,UTA,GSW,86,127,GSW
0022400085,2024-10-25,LAL,PHO,123,116,LAL
0022400086,2024-10-25,POR,NOP,103,105,NOP
0022400087,2024-10-26,DEN,LAC,104,109,LAC
0022400088,2024-10-26,CHO,MIA,106,114,MIA
0022400089,2024-10-26,DET,BOS,118,124,BOS
0022400090,2024-10-26,WAS,CLE,116,135,CLE
0022400091,2024-10-26,CHI,OKC,95,114,OKC
0022400092,2024-10-26,MEM,ORL,124,111,MEM
0022400093,2024-10-26,MIN,TOR,112,101,MIN
0022400094,2024-10-26,SAS,HOU,109,106,SAS
0022400095,2024-10-26,PHO,DAL,114,102,PHO
0022400096,2024-10-26,LAL,SAC,131,127,LAL
0022400097,2024-10-27,IND,PHI,114,118,PHI
0022400098,2024-10-27,BRK,MIL,115,102,BRK
0022400099,2024-10-27,POR,NOP,125,103,POR
0022400100,2024-10-27,OKC,ATL,128,104,OKC
0022400101,2024-10-27,GSW,LAC,104,112,LAC
0022400102,2024-10-28,ORL,IND,119,115,ORL
0022400103,2024-10-28,ATL,WAS,119,121,WAS
0022400104,2024-10-28,BOS,MIL,119,108,BOS
0022400105,2024-10-28,MIA,DET,106,98,MIA
0022400106,2024-10-28,NYK,CLE,104,110,CLE
0022400107,2024-10-28,TOR,DEN,125,127,DEN
0022400108,2024-10-28,MEM,CHI,123,126,CHI
0022400109,2024-10-28,SAS,HOU,101,106,HOU
0022400110,2024-10-28,DAL,UTA,110,102,DAL
0022400111,2024-10-28,PHO,LAL,109,105,PHO
0022400112,2024-10-28,SAC,POR,111,98,SAC
0022400113,2024-10-29,BRK,DEN,139,144,DEN
0022400114,2024-10-29,MIN,DAL,114,120,DAL
0022400115,2024-10-29,UTA,SAC,96,113,SAC
0022400116,2024-10-29,GSW,NOP,124,106,GSW
0022400117,2024-10-30,CHO,TOR,138,133,CHO
0022400118,2024-10-30,CLE,LAL,134,110,CLE
0022400119,2024-10-30,IND,BOS,135,132,IND
0022400120,2024-10-30,PHI,DET,95,105,DET
