game_id,game_date,home,away,home_pts,away_pts,winner
0021900001,2019-10-22,TOR,NOP,130,122,TOR
0021900002,2019-10-22,LAC,LAL,112,102,LAC
0021900003,2019-10-23,CHO,CHI,126,125,CHO
0021900004,2019-10-23,IND,DET,110,119,DET
0021900005,2019-10-23,ORL,CLE,94,85,ORL
0021900006,2019-10-23,BRK,MIN,126,127,MIN
0021900007,2019-10-23,MIA,MEM,120,101,MIA
0021900008,2019-10-23,PHI,BOS,107,93,PHI
0021900009,2019-10-23,DAL,WAS,108,100,DAL
0021900010,2019-10-23,SAS,NYK,120,111,SAS
0021900011,2019-10-23,UTA,OKC,100,95,UTA
0021900012,2019-10-23,PHO,SAC,124,95,PHO
0021900013,2019-10-23,POR,DEN,100,108,DEN
0021900014,2019-10-24,DET,ATL,100,117,ATL
0021900015,2019-10-24,HOU,MIL,111,117,MIL
0021900016,2019-10-24,GSW,LAC,122,141,LAC
0021900017,2019-10-25,BOS,TOR,112,106,BOS
0021900018,2019-10-25,CHO,MIN,99,121,MIN
0021900019,2019-10-25,BRK,NYK,113,109,BRK
0021900020,2019-10-25,MEM,CHI,102,110,CHI
0021900021,2019-10-25,NOP,DAL,116,123,DAL
0021900022,2019-10-25,OKC,WAS,85,97,WAS
0021900023,2019-10-25,DEN,PHO,108,107,DEN
0021900024,2019-10-25,SAC,POR,112,122,POR
0021900025,2019-10-25,LAL,UTA,95,86,LAL
0021900026,2019-10-26,MIL,MIA,126,131,MIA
0021900027,2019-10-26,DET,PHI,111,117,PHI
0021900028,2019-10-26,ATL,ORL,103,99,ATL
0021900029,2019-10-26,NYK,BOS,95,118,BOS
0021900030,2019-10-26,CLE,IND,110,99,CLE
0021900031,2019-10-26,CHI,TOR,84,108,TOR
0021900032,2019-10-26,HOU,NOP,126,123,HOU
0021900033,2019-10-26,SAS,WAS,124,122,SAS
0021900034,2019-10-26,UTA,SAC,113,81,UTA
0021900035,2019-10-26,PHO,LAC,130,122,PHO
0021900036,2019-10-27,OKC,GSW,120,92,OKC
0021900037,2019-10-27,MEM,BRK,134,133,MEM
0021900038,2019-10-27,DAL,POR,119,121,POR
0021900039,2019-10-27,MIN,MIA,116,109,MIN
0021900040,2019-10-27,LAL,CHO,120,101,LAL
0021900041,2019-10-28,DET,IND,96,94,DET
0021900042,2019-10-28,NYK,CHI,105,98,NYK
0021900043,2019-10-28,ATL,PHI,103,105,PHI
0021900044,2019-10-28,TOR,ORL,104,95,TOR
0021900045,2019-10-28,HOU,OKC,116,112,HOU
0021900046,2019-10-28,MIL,CLE,129,112,MIL
0021900047,2019-10-28,NOP,GSW,123,134,GSW
0021900048,2019-10-28,SAS,POR,113,110,SAS
0021900049,2019-10-28,PHO,UTA,95,96,UTA
0021900050,2019-10-28,SAC,DEN,94,101,DEN
0021900051,2019-10-28,LAC,CHO,111,96,LAC
0021900052,2019-10-29,MIA,ATL,112,97,MIA
0021900053,2019-10-29,DEN,DAL,106,109,DAL
0021900054,2019-10-29,LAL,MEM,120,91,LAL
0021900055,2019-10-30,CLE,CHI,117,111,CLE
0021900056,2019-10-30,ORL,NYK,95,83,ORL
