game_id,game_date,home,away,home_pts,away_pts,winner
0021700001,2017-10-17,CLE,BOS,102,99,CLE
0021700002,2017-10-17,GSW,HOU,121,122,HOU
0021700003,2017-10-18,DET,CHO,102,90,DET
0021700004,2017-10-18,IND,BRK,140,131,IND
0021700005,2017-10-18,ORL,MIA,116,109,ORL
0021700006,2017-10-18,WAS,PHI,120,115,WAS
0021700007,2017-10-18,BOS,MIL,100,108,MIL
0021700008,2017-10-18,MEM,NOP,103,91,MEM
0021700009,2017-10-18,DAL,ATL,111,117,ATL
0021700010,2017-10-18,UTA,DEN,106,96,UTA
0021700011,2017-10-18,SAS,MIN,107,99,SAS
0021700012,2017-10-18,PHO,POR,76,124,POR
0021700013,2017-10-18,SAC,HOU,100,105,HOU
0021700014,2017-10-19,TOR,CHI,117,100,TOR
0021700015,2017-10-19,OKC,NYK,105,84,OKC
0021700016,2017-10-19,LAL,LAC,92,108,LAC
0021700017,2017-10-20,CHO,ATL,109,91,CHO
0021700018,2017-10-20,IND,POR,96,114,POR
0021700019,2017-10-20,PHI,BOS,92,102,BOS
0021700020,2017-10-20,WAS,DET,115,111,WAS
0021700021,2017-10-20,MIL,CLE,97,116,CLE
0021700022,2017-10-20,BRK,ORL,126,121,BRK
0021700023,2017-10-20,MIN,UTA,100,97,MIN
0021700024,2017-10-20,DAL,SAC,88,93,SAC
0021700025,2017-10-20,NOP,GSW,120,128,GSW
0021700026,2017-10-20,PHO,LAL,130,132,LAL
0021700027,2017-10-21,TOR,PHI,128,94,TOR
0021700028,2017-10-21,CLE,ORL,93,114,ORL
0021700029,2017-10-21,MIA,IND,112,108,MIA
0021700030,2017-10-21,NYK,DET,107,111,DET
0021700031,2017-10-21,CHI,SAS,77,87,SAS
0021700032,2017-10-21,HOU,DAL,107,91,HOU
0021700033,2017-10-21,MEM,GSW,111,101,MEM
0021700034,2017-10-21,MIL,POR,113,110,MIL
0021700035,2017-10-21,DEN,SAC,96,79,DEN
0021700036,2017-10-21,UTA,OKC,96,87,UTA
0021700037,2017-10-21,LAC,PHO,130,88,LAC
0021700038,2017-10-22,BRK,ATL,116,104,BRK
0021700039,2017-10-22,OKC,MIN,113,115,MIN
