game_id,game_date,home,away,home_pts,away_pts,winner
0022200001,2022-10-18,BOS,PHI,126,117,BOS
0022200002,2022-10-18,GSW,LAL,123,109,GSW
0022200003,2022-10-19,DET,ORL,113,109,DET
0022200004,2022-10-19,IND,WAS,107,114,WAS
0022200005,2022-10-19,ATL,HOU,117,107,ATL
0022200006,2022-10-19,BRK,NOP,108,130,NOP
0022200007,2022-10-19,MIA,CHI,108,116,CHI
0022200008,2022-10-19,TOR,CLE,108,105,TOR
0022200009,2022-10-19,MEM,NYK,115,112,MEM
0022200010,2022-10-19,MIN,OKC,115,108,MIN
0022200011,2022-10-19,SAS,CHO,102,129,CHO
0022200012,2022-10-19,UTA,DEN,123,102,UTA
0022200013,2022-10-19,PHO,DAL,107,105,PHO
0022200014,2022-10-19,SAC,POR,108,115,POR
0022200015,2022-10-20,PHI,MIL,88,90,MIL
0022200016,2022-10-20,LAL,LAC,97,103,LAC
0022200017,2022-10-21,CHO,NOP,112,124,NOP
0022200018,2022-10-21,IND,SAS,134,137,SAS
0022200019,2022-10-21,WAS,CHI,102,100,WAS
0022200020,2022-10-21,ATL,ORL,108,98,ATL
0022200021,2022-10-21,BRK,TOR,109,105,BRK
0022200022,2022-10-21,MIA,BOS,104,111,BOS
0022200023,2022-10-21,NYK,DET,130,106,NYK
0022200024,2022-10-21,HOU,MEM,122,129,MEM
0022200025,2022-10-21,MIN,UTA,126,132,UTA
0022200026,2022-10-21,GSW,DEN,123,128,DEN
0022200027,2022-10-21,POR,PHO,113,111,POR
0022200028,2022-10-22,PHI,SAS,105,114,SAS
0022200029,2022-10-22,IND,DET,124,115,IND
0022200030,2022-10-22,ORL,BOS,120,126,BOS
0022200031,2022-10-22,MIA,TOR,112,109,MIA
0022200032,2022-10-22,CHI,CLE,96,128,CLE
0022200033,2022-10-22,MIL,HOU,125,105,MIL
0022200034,2022-10-22,DAL,MEM,137,96,DAL
0022200035,2022-10-22,DEN,OKC,122,117,DEN
0022200036,2022-10-22,SAC,LAC,109,111,LAC
0022200037,2022-10-23,LAL,POR,104,106,POR
0022200038,2022-10-23,ATL,CHO,109,126,CHO
0022200039,2022-10-23,CLE,WAS,117,107,CLE
0022200040,2022-10-23,NOP,UTA,121,122,UTA
0022200041,2022-10-23,OKC,MIN,106,116,MIN
0022200042,2022-10-23,GSW,SAC,130,125,GSW
0022200043,2022-10-23,LAC,PHO,95,112,PHO
0022200044,2022-10-24,PHI,IND,120,106,PHI
0022200045,2022-10-24,MIA,TOR,90,98,TOR
0022200046,2022-10-24,NYK,ORL,115,102,NYK
0022200047,2022-10-24,CHI,BOS,120,102,CHI
0022200048,2022-10-24,HOU,UTA,114,108,HOU
0022200049,2022-10-24,MEM,BRK,134,124,MEM
0022200050,2022-10-24,MIN,SAS,106,115,SAS
0022200051,2022-10-24,POR,DEN,135,110,POR
0022200052,2022-10-25,WAS,DET,120,99,WAS
0022200053,2022-10-25,NOP,DAL,113,111,NOP
0022200054,2022-10-25,OKC,LAC,108,94,OKC
0022200055,2022-10-25,PHO,GSW,134,105,PHO
0022200056,2022-10-26,CLE,ORL,103,92,CLE
0022200057,2022-10-26,DET,ATL,113,118,ATL
0022200058,2022-10-26,NYK,CHO,134,131,NYK
0022200059,2022-10-26,TOR,PHI,119,109,TOR
0022200060,2022-10-26,MIL,BRK,110,99,MIL
0022200061,2022-10-26,CHI,IND,124,109,CHI
0022200062,2022-10-26,MIN,SAS,134,122,MIN
0022200063,2022-10-26,UTA,HOU,109,101,UTA
0022200064,2022-10-26,DEN,LAL,110,99,DEN
0022200065,2022-10-26,POR,MIA,98,119,MIA
